Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Burgon & Ball,https://www.crunchbase.com/organization/burgon-ball,1730-01-01,year,11-50,"Founded in Sheffield in 1730, Burgon & Ball is the UK’s oldest manufacturer of garden tools and accessories, with hundreds of years of expertise in steel manufacturing. A manufacturer of the world’s finest sheep shears since its earliest years, today Burgon & Ball is respected as a leading name in garden tools and enjoys an enviable reputation for quality and innovation. Notable product ranges are its Royal Horticultural Society-endorsed garden tools, and the popular range of hand tools and giftware developed in collaboration with designer Sophie Conran",https://www.burgonandball.com/,"Consumer Goods, Home and Garden, Manufacturing, Productivity Tools","Sheffield, Sheffield, United Kingdom","Burgon & Ball manufacturer of Garden Tools to make gardening easier, and gorgeous gardening gifts.","558,980","36,944","33,728.17",167.15%,-25.25%,74,2.81,19.74%,48.5%,-4.68%,"1,045,844","-765,972",-42.28%
Witte Tools,https://www.crunchbase.com/organization/witte-tools,1785-01-01,year,10001+,,https://www.wittetools.com,"Manufacturing, Productivity Tools","Hagen, Nordrhein-Westfalen, Germany","Witte Tools is a tool manufacturer for automobile and wagon production, supplying customers with high-quality tools.","731,532","2,335","2,391",23.02%,565.96%,626,6,132.59%,0%,-44.08%,"4,823,027","-216,235",-4.29%
WÜSTHOF,https://www.crunchbase.com/organization/wüsthof-usa,1814-01-01,year,101-250,"WÜSTHOF products include chef's knives, asian-style knives, utility knives, paring knives, task, bread knives, carving knives, cleavers, butcher's knives, fish and fillet knives, seasonal knives, steak knife sets, knife sets, block sets, and block builders.",https://www.wuesthof.com/en-in/,"Consumer Goods, Manufacturing, Product Design, Productivity Tools","Solingen, Nordrhein-Westfalen, Germany",WÜSTHOF manufactures cutlery with precision and quality.,"478,735","7,824",,,,0,1,,100%,,"2,569,355",,
C.S. Osborne & Co.,https://www.crunchbase.com/organization/c-s-osborne-co,1826-01-01,year,101-250,"C.S. Osborne & Co. manufactures and distributes leather tools, industrial tools, and upholstery tools. They provide tools including awls and shafts, blades/cutters and skivers, caning and basket weaving tools, chisels, decorative nails, edge tools, creasers, bone folders, hammers, mallets, and mauls, hand presses, pneumatic machines, knives and sheaths, marking and embossing tools.",https://csosborne.com,"Industrial, Manufacturing, Productivity Tools, Wholesale","Harrison, New Jersey, United States",CS Osborne & Co. is a tool manufacturer.,"591,199","3,749","11,555.67",198.25%,992.42%,378,1.42,41.74%,58.24%,-41.76%,"3,856,985","-2,662,737",-40.84%
Browns Agricultural,https://www.crunchbase.com/organization/browns-agricultural,1830-01-01,year,,,https://brownsagricultural.co.uk/,"Agriculture, AgTech, Farming, Machinery Manufacturing, Manufacturing, Productivity Tools","Leighton Buzzard, Bedfordshire, United Kingdom","Browns Agricultural is a machinery manufacturing company that offers bale handling, post hammers, subsoilers, scrapers, and equipment.","680,253",,,,,,,,,,,,
Ferry Capitain,https://www.crunchbase.com/organization/ferry-capitain,1831-01-01,year,251-500,,https://www.ferry-capitain.eu/,"Aerospace, Industrial, Machinery Manufacturing, Manufacturing, Mining, Productivity Tools, Renewable Energy","Vecqueville, Champagne-Ardenne, France","Ferry Capitain is a manufacturing company that specializes in cutting, foundry, heat treatment, bearing, machining, and casting solutions.","703,746",,,,,,,,,,,,
Bentall Rowlands,https://www.crunchbase.com/organization/bentall-rowlands,1840-01-01,year,101-250,,https://www.bentallrowlands.com/,"Industrial, Manufacturing, Product Design, Productivity Tools, Warehousing","Scunthorpe, North Lincolnshire, United Kingdom","Bentall Rowlands manufactures hopper bottom, flat bottom, smooth wall silos, water tanks, storage, and processing equipment services.","1,689,025",,,,,,,,,,,,
Wacker Neuson,https://www.crunchbase.com/organization/wacker-neuson,1848-01-01,year,1001-5000,,https://wackerneuson.us,"Agriculture, Construction, Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","Menomonee Falls, Wisconsin, United States",Wacker Neuson manufactures equipment for construction and agriculture industries with spare parts and professional services.,"524,997",,,,,,,,,,,,
North Alabama Pipe Corporation,https://www.crunchbase.com/organization/north-alabama-pipe-corporation,1850-01-01,year,51-100,"ASC Engineered Solutions is a complete solutions provider of precision-engineered pipes, valves, field services, and design tools. ASC Engineered Solutions continue focusing on improving the customer experience every day and striving to deliver service excellence. It was founded in 1850 and its headquarters is located in Commerce, California.",https://www.nalapipe.com,"Building Material, Manufacturing, Mechanical Engineering, Productivity Tools, Sales, Software Engineering","Commerce, California, United States","North Alabama Pipe Corp provides complete solutions of precision-engineer pipes, valves, fittings & supports, field services, design tools.","575,386",,,,,,,,,,,,
Singer France,https://www.crunchbase.com/organization/singer-france,1851-01-01,year,11-50,"Singer offers a wide range of sewing machines, embroiderers, sergers and sewing accessories. Singer benefits above all from an organization made up of professionals at the service of the creativity, and comfort of their users. Advice, demonstrations, training or even sewing lessons are all assets that contribute to the quality of the brand's service.",https://www.singerfrance.com,"Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","Paris, Ile-de-France, France","Singer manufactures sewing machines, embroiderers, sergers, and sewing accessories.","1,725,456","25,078","34,031",6.46%,157.33%,386,2.53,-18.22%,41.3%,-37.8%,"1,340,905","-13,373",-0.99%
