Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Datadog,https://www.crunchbase.com/organization/datadog,"Datadog is an essential monitoring platform for cloud applications. It brings together data from servers, containers, databases, and third-party services to make your stack entirely observable. These capabilities help DevOps teams avoid downtime, resolve performance issues, and ensure customers are getting the best user experience.","Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Productivity Tools, SaaS",https://www.datadoghq.com,"New York, New York, United States",Datadog offers monitoring and analytics for cloud-based workflows.,450,"33,278,807","35,617,981.33",-12.3%,13.1%,"1,062",1.85,21.42%,73.31%,-1.62%,"4,898",868,21.54%,"Greater New York Area, East Coast, Northeastern US",Active,2010-01-01,year,2,1001-5000,"Alexis Le-Quoc, Olivier Pomel",,,86935805,USD,86935805
WM Technology,https://www.crunchbase.com/organization/wm-technology,"WM Technology provides the broadest suite of cloud-based software as a service (SaaS) and data solutions for the cannabis industry. WM Technology’s product suite includes point of sale, logistics, wholesale, and ordering solutions that enable clients to scale their businesses while complying with the complex and disparate regulations applicable to the cannabis industry.","Cloud Computing, Cloud Infrastructure, SaaS, Software",https://weedmaps.com/corporate,"Independence, Ohio, United States",WM Technology is a technology and software infrastructure provider to the cannabis industry.,"9,205","10,322,579","19,969,603.5",-50.88%,106.9%,540,3.15,6.43%,49.75%,52.51%,"16,442","8,928",118.82%,"Great Lakes, Midwestern US",Active,2008-01-01,year,,501-1000,,,,,,
Kinsta,https://www.crunchbase.com/organization/kinsta-wordpress-hosting,"Kinsta was founded in 2013 with a desire to change the status quo.  We set out to create the best WordPress hosting platform in the world, and that’s our promise.  At Kinsta, we take managed WordPress hosting and performance to the next level.  Powered by Google Cloud Platform and their lightning-fast """"premium tier"""" network, WordPress  users can choose from 25+ data centers around the globe. We host all types of sites, from  small blogs up to Fortune 500 customers. Kinsta is obsessed with performance: Imagine a car enthusiast building their dream ride.  That's us with WordPress hosting. We love what we do and are obsessed with fine-tuning our  servers to deliver maximum speeds. Kinsta is global: We serve thousands of clients from 128 countries around the globe through  our 25+ data centers. The only continent we haven't reached yet is Antarctica. Kinsta is local: Wherever it is on the globe, we like to be locals. That's why we hired a remote  support team that covers all time zones. We also provide native-speaking support in 6 languages. Kinsta is diverse: Our team is remote-first with some local hubs. This allows us to hire top talent  worldwide without boundaries. Our diversity is also our power. We all come from different walks  of life, and this widens our unified perspective. It instills an understanding that we can use on a  daily basis when interacting with each other or with clients. Kinsta loves WordPress: Just like you, we are all members of the WordPress community:  users, developers, and enthusiasts. That's why we build our business around the best CMS in the world. We also try to give back whenever we can: supporting local communities, sponsoring WordCamps  and meetups, and contributing to WordPress core development. Kinsta is independent: We are proud to be one of the fastest-growing managed WordPress hosts in the  industry. This means stability for our platform and, consequently, to your site. Kinsta is deeply rooted in  hosting and is here to stay. We bootstrapped our business from the ground up so that we could be in full control of our company.  This enables us to continually innovate and truly put our values and those of our customers first.","Cloud Infrastructure, Software, Web Hosting",https://kinsta.com,"Los Angeles, California, United States","Kinsta is a Premium managed WordPress hosting provider, powered by Google Cloud, offering lightning-fast load times and 24/7 expert support.","78,612","8,518,100","8,723,747.17",-0.44%,25.66%,617,1.25,-0.86%,85.2%,1.34%,"19,541","1,873",10.6%,"Greater Los Angeles Area, West Coast, Western US",Active,2013-12-01,day,1,251-500,Mark Gavalda,,,,,
Rackspace,https://www.crunchbase.com/organization/rackspace,"Rackspace provides hybrid cloud-based services that enable businesses to run their workload in a public or private cloud. Rackspace’s engineers deliver specialized expertise on top of leading technologies developed by OpenStack, Microsoft, VMware, and others through a service known as Fanatical Support. It has more than 300,000 customers worldwide including two-thirds of FORTUNE 100 companies. Rackspace was named a leader in the 2015 Gartner Magic Quadrant for Cloud-Enabled Managed Hosting and has been honored as one of Fortune’s Best Companies to Work For. Rackspace was founded in 1998 and is based in San Antonio, Texas.","Big Data, Cloud Computing, Cloud Infrastructure, IaaS",https://www.rackspace.com,"San Antonio, Texas, United States",Rackspace provides hybrid cloud-based services that enable businesses to run their workload in a public or private cloud.,"53,065","5,077,467","4,594,003.83",73.76%,6.63%,611,4.24,10.72%,23.75%,-20.73%,"30,881","-16,275",-34.51%,Southern US,Active,1998-01-01,year,4,1001-5000,"Dirk Elmendorf, Graham Weston, Pat Condon, Richard Yoo",,,,,
Veeam Software,https://www.crunchbase.com/organization/veeam-software,"Veeam provides a single platform for modernizing backup, accelerating hybrid cloud and securing data. Veeam has 400,000+ customers worldwide, including 82% of the Fortune 500 and 69% of the Global 2,000. Veeam’s 100% channel ecosystem includes global partners, as well as HPE, NetApp, Cisco and Lenovo as exclusive resellers, and boasts more than 35K transacting partners worldwide.  With offices in more than 30 countries and over 200 industry awards, Veeam is unquestionably the leader in data protection across all environments.  In fact, Veeam was named a LEADER in Gartner’s 2020 Magic Quadrant for Data Center Backup and Recovery Solutions for the fourth year in a row, and Gartner positioned Veeam as the highest for the ability to execute.   The company was founded in 2006 and is headquartered in Columbus, OH.","Cloud Infrastructure, Data Center, Enterprise Software, Software, Virtualization",http://www.veeam.com,"Columbus, Ohio, United States","Veeam is a single backup and data management platform for cloud, virtual, and physical software.","1,519","4,247,562","3,017,162.67",53.89%,-8.78%,769,3.38,9.55%,53.04%,4.74%,"35,855","-13,472",-27.31%,"Great Lakes, Midwestern US",Active,2006-01-01,year,2,1001-5000,"Andrei Baronov, Ratmir Timashev",,,,,
MuleSoft,https://www.crunchbase.com/organization/mulesoft,"MuleSoft makes it easy to connect the world’s applications, data, and devices. They provide a software platform that enables organizations to easily build application networks using APIs. APIs are the digital glue that allows applications to talk to each other and exchange data. Their flexible, unified platform connects nearly any application or system by leveraging APIs to quickly and securely share data, regardless of format or source, in application networks. It was founded in 2006 and is headquartered in San Francisco, California,.","Apps, Cloud Infrastructure, Data Integration, Developer APIs, Enterprise Software",http://www.mulesoft.com,"San Francisco, California, United States",MuleSoft provides an integration and API platform that makes it easy to connect data from any system to create connected experiences.,418,"3,740,746","1,919,698.67",52.78%,-1.38%,"1,000",4.09,-4.58%,44.2%,9.92%,"39,766","-14,957",-27.33%,"San Francisco Bay Area, West Coast, Western US",Active,2006-07-01,day,2,1001-5000,"Dave Rosenberg, Ross Mason",2,,,,
Yugabyte,https://www.crunchbase.com/organization/yugabyte,"Yugabyte is the company behind YugabyteDB, the high-performance distributed SQL database for building global, internet-scale apps. It is built using a unique combination of the high-performance document store, auto sharding, per-shard distributed consensus replication, and multi-shard ACID transactions (inspired by Google Spanner).  YugabyteDB serves both scale-out RDBMS and internet-scale OLTP workloads with low query latency, extreme resilience against failures, and global data distribution. As a cloud-native database, it can be deployed across public and private clouds as well as in Kubernetes environments with ease. YugabyteDB is fully open-source under the Apache 2.0 license. It was founded in 2016 and is headquartered in Sunnyvale, California.","Cloud Infrastructure, Database, Enterprise Software, Open Source",https://www.yugabyte.com,"Sunnyvale, California, United States","Yugabyte is an open-source distributed SQL database for customers in industries such as cybersecurity, financial markets, and IoT.","17,869","3,555,642","685,965.5","3,473.83%",366.99%,"1,443",1.22,-36.24%,85.23%,10.46%,"41,319","-458,865",-91.74%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2016-02-01,month,3,251-500,"Kannan Muthukkaruppan, Karthik Ranganathan, Mikhail Bautin",,,216037,USD,216037
Linode,https://www.crunchbase.com/organization/linode,"Linode accelerates innovation by making cloud computing simple, accessible, and affordable to all. Founded in 2003, Linode helped pioneer the cloud computing industry and is today the largest independent open cloud provider in the world. Headquartered in Philadelphia's Old City, the company empowers more than a million developers, startups, and businesses across its global network of data centers. Linode is a cloud hosting company offering customers access to Linux virtual servers on high-speed internet connections.","Cloud Computing, Cloud Infrastructure, IaaS, Information Technology, Web Hosting",http://www.linode.com,"Philadelphia, Pennsylvania, United States",Linode is a cloud hosting company offering customers access to Linux virtual servers on high speed internet connections.,"86,209","3,185,937","2,731,212.17",34.29%,-19.26%,499,2.38,-2.69%,54.29%,-1.7%,"45,094","-10,377",-18.71%,"Greater Philadelphia Area, Great Lakes, Northeastern US",Active,2003-06-16,day,1,101-250,Christopher S. Aker,,,603287,USD,603287
Anaconda,https://www.crunchbase.com/organization/continuum-analytics,"Anaconda is the most trusted Python data science platform with more than 25 million users across 250 countries serving 1 in 3 of the G2000. With more than 15 million users, Anaconda is the world’s most popular data science platform and the foundation of modern machine learning. Anaconda Enterprise delivers data science and machine learning at speed and scale, unleashing the full potential of our customers’ data science and machine learning initiatives.","Analytics, Artificial Intelligence, Big Data, Cloud Infrastructure, Enterprise Software, Machine Learning, Open Source",https://www.anaconda.com,"Austin, Texas, United States",Anaconda is a data science platform and the foundation of modern machine learning.,"3,702","2,990,965","2,236,128.83",27.21%,-24.66%,336,2.8,23.18%,40.69%,-21.2%,"47,443","-8,422",-15.08%,Southern US,Active,2012-01-01,day,3,101-250,"Hugo Shi, Peter Wang, Travis Oliphant",,,,,
Vultr Holdings Corporation,https://www.crunchbase.com/organization/vultr-holdings-llc,"Vultr, the Independent Cloud, provides developers and businesses around the world with easy-to-use, high-performance cloud infrastructure at a fraction of the cost of the Big Tech clouds. Featuring virtualized Cloud Compute, Bare Metal, and managed Kubernetes, Vultr has enabled over a million customers to run applications on an elastically scalable cloud that delivers industry-leading price-performance. Many customers prefer Vultr because it offers more than 20 data center locations, across 5 continents, allow them to minimize latency by placing computing power close to end users. Vultr is profitable, privately owned, and part of The Constant Company, LLC. Vultr Holdings was founded in 2014 by David Aninowsky with offices in Central New Jersey and South Florida.    We're hiring!  Join our team today at vultr.com/company/careers/","Cloud Computing, Cloud Infrastructure, Cloud Storage, Web Hosting",https://www.vultr.com,"West Palm Beach, Florida, United States","Vultr, the Independent Cloud, provides developers and businesses with powerful cloud infrastructure at an unbeatable price.","86,236","2,560,197","2,627,488.67",0.67%,14.38%,827,4.58,-2.3%,47.28%,-2.78%,"53,678","1,177",2.24%,"Greater Miami Area, East Coast, Southern US",Active,2014-01-01,year,1,101-250,David Aninowsky,,,,,
InMotion Hosting,https://www.crunchbase.com/organization/inmotion-hosting,"InMotion Hosting is a leading web hosting company serving customers around the world. Recently named PCMag's Editors' Choice, they provide reliable, high-performance hosting environments that are affordable and easy to use. The hallmark of InMotion is excellence in customer service. Their aim is to delight every customer with friendly service that is readily available, expert and effective. InMotion is a trusted partner for businesses both large and small, with over 20 years in the hosting business and over 150,000 satisfied customers. They deeply care about their employees, community and the environment, with green data centers and ongoing sustainability programs.","Cloud Infrastructure, Domain Registrar, Private Cloud, Web Hosting",https://www.inmotionhosting.com,"Virginia Beach, Virginia, United States",InMotion Hosting provides fast and reliable website hosting. All backed by 24/7/365 customer support and a 90-day money-back guarantee.,"145,579","2,281,352","2,042,179",8.56%,-16.46%,538,2.61,11.9%,59.44%,-4.68%,"58,768","-2,137",-3.51%,"East Coast, Southern US",Active,2001-02-01,day,2,251-500,"Sunil Saxena, Todd Robinson",2,"7,731",2360981,USD,2360981
Pantheon,https://www.crunchbase.com/organization/pantheon,"Pantheon is an internet company. They offer cloud-native software that securely manages a single website or thousands of websites across multiple teams on one platform. Their services include pre-launch load testing, training, and migrations.","Cloud Infrastructure, Enterprise Software, Infrastructure, SaaS, Web Development",https://pantheon.io,"San Francisco, California, United States",Pantheon is a website operations platform that provides custom application services.,"9,484","1,987,563","787,160.67",208.29%,10.99%,929,4.56,85%,24.01%,-51.33%,"63,549","-74,227",-53.88%,"San Francisco Bay Area, West Coast, Western US",Active,2010-01-01,year,4,501-1000,"David Timothy Strauss, Josh Koenig, Matt Cheney, Zachary Rosen",,,942401,USD,942401
Netgate,https://www.crunchbase.com/organization/netgate,,"Cloud Infrastructure, Cloud Security, Cyber Security, Network Security, Open Source",http://www.netgate.com,"Austin, Texas, United States",Netgate is focused on delivering secure high-performance network connectivity for everyone through security and privacy.,"202,729","1,917,752","1,153,832.5",133.27%,-13.56%,829,1.92,-18.11%,64.81%,6.32%,"67,143","-55,301",-45.16%,Southern US,Active,2002-01-01,year,2,11-50,"Jamie Thompson, Jim Thompson",,,839607,USD,839607
"ZeroTier, Inc.",https://www.crunchbase.com/organization/zerotier-networks,"ZeroTier, Inc. offers the fastest, most flexible solution to deploy and maintain secure peer-to-peer networks.  Supporting over two million devices globally with a proud open-source heritage, ZeroTier provides unrivaled ease of connectivity and management for modern networking use cases. ZeroTier is trusted by organizations in an expansive range of global industries including Information Technology, Cloud, Telecommunications, IoT, Manufacturing, Media, Automotive, Aerospace, and Defense.  For more information, visit https://www.ZeroTier.com or follow us on Twitter @ZeroTier.","Cloud Infrastructure, Information Technology, Internet, Mobile, Network Security, Security, Software, Telecommunications, Virtualization",https://www.zerotier.com/,"Irvine, California, United States",ZeroTier is directly connecting the world's devices through secure software-defined networking.,"34,698","1,645,154","1,441,869",-2.32%,27.53%,718,2.69,-10.49%,54.82%,21.8%,"73,278","6,124",9.12%,"Greater Los Angeles Area, West Coast, Western US",Active,2015-01-01,year,1,11-50,Adam Ierymenko,1,"118,095",16010,USD,16010
Supermicro,https://www.crunchbase.com/organization/super-micro-computer,"Super Micro Computer, Inc. or Supermicro® (NASDAQ: SMCI), a global leader in high-performance, high-efficiency server technology and innovation is a premier provider of end-to-end green computing solutions for HPC, Data Center, Cloud Computing, Enterprise IT, Hadoop/Big Data and Embedded Systems worldwide. Supermicro's advanced server Building Block Solutions® offers a vast array of modular, interoperable components for building energy-efficient, application-optimized, computing solutions. This broad line of products includes servers, blades, GPU systems, workstations, motherboards, chassis, power supplies, storage technologies, networking solutions, server management software and SuperRack® cabinets/accessories. Architecture innovations include Twin Architecture, FatTwin™, SuperServer®, SuperBlade®, MicroCloud, Super Storage Bridge Bay (SBB), Double-Sided Storage®, Battery Backup Power (BBP®) modules, Universal I/O (UIO) and WIO expansion technology all of which deliver unrivaled performance and value. The company's market leadership is based on first-to-market advantages with the most optimized, scalable new technologies coupled with an extraordinarily wide selection of high performance server products offering customers lower TCO. System solutions cover a broad range of applications across world-class data center and cloud services, large scalable server farms, scientific and research supercomputing clusters, businesses with complex computing requirements (such as those in financial services, oil and gas exploration, and media and entertainment companies) industrial applications, medical equipment and digital security and surveillance. Supermicro combines 20 years of advanced engineering experience with efficient production and integration expertise to develop first-to-market green computing solutions. The company is committed to protecting the environment through its ""We Keep IT Green®"" initiative. Founded in 1993 and headquartered in San Jose, California, Supermicro has been profitable every year since its inception. With Operations centers in Silicon Valley, the Netherlands and its Science & Technology Park and Logistics Center in Taiwan, Supermicro is well positioned to further scale its business worldwide.","Cloud Computing, Cloud Infrastructure, Embedded Systems, Manufacturing, Software",http://www.supermicro.com,"San Jose, California, United States","Supermicro is a global leader in high-performance, high-efficiency server technology and innovation.","205,544","1,337,236","1,235,783.17",29.68%,-5.6%,607,3.23,10.51%,49.06%,-13.4%,"88,343","-15,413",-14.86%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,1993-01-01,year,3,1001-5000,"Charles Liang, Sara Liu Liang, Wally Liaw",,,268794431,USD,268794431
