Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
factoHR | HCM Software,https://www.crunchbase.com/organization/payroll-software-hr-software-factohr-simplest-fastest-hr-engine,"factoHR is a cloud-based human resource management system. It is suitable for businesses of multiple sizes and contains features for executing HR tasks including recruitment and exit management. It offers Android and iOS mobile apps that link to the employee self-service portal and feature an income tax calculator. factoHR employs a rule-based engine for learning and adapting to users’ processes. It offers workflows that can accommodate individual approaches to managing attendance, leave, travel, performance appraisals and claim applications. Payroll software offers modules for tracking time and attendance, employee onboarding and delivering training through a learning management system. The attendance system allows employees to do a leave application or an attendance correction application from a mobile device. It integrates with biometric attendance devices to fetch and compute attendance data for salary process   Perpetual licenses and subscription pricing are available. Support is offered via email and phone.","Cloud Management, Human Resources, SaaS, Software",https://factohr.com,"Bangalore, Karnataka, India","factoHR is modern, mobile first , plug n play , Hire to Retire HCM platform that enable's businesses to  automate their  daily  HR functions","166,846","484,293","336,392.83",287.24%,399.44%,889,1.31,-17.43%,74.39%,13.35%,"185,855","-269,743",-59.21%,Asia-Pacific (APAC),Active,2016-07-07,day,3,251-500,"Aditya Nagodara, Aniruddh Nagodara, Niraj Karelia",6,"3,864",,,
TO THE NEW Pvt. Ltd.,https://www.crunchbase.com/organization/to-the-new,"TO THE NEW is a digital technology company providing digital transformation and product engineering services to ISVs, Consumer Internet, and large enterprises across the globe. We design & build digital platforms and products with Cloud and Data at the focal point.    TO THE NEW is amongst the fastest-growing technology companies globally with a CAGR of 50% since 2017. Established in 2008, our passionate team of 1500+ “Newers” is spread across delivery centres in New Delhi, Dubai, and New Jersey. TO THE NEW has been a consistent winner of the “Great Place to Work” award since 2015 and ranked #47 in the top 100 companies in India to work for in 2019.","Cloud Data Services, Cloud Management, Consumer Software, Digital Marketing, Mobile Apps, Quality Assurance, Software, Software Engineering, UX Design, Web Development",http://www.tothenew.com,"Noida, Uttar Pradesh, India",TO THE NEW is a premium digital technology company that provides end-to-end product engineering services.,"78,841","202,576","134,941.67",68.14%,24.27%,"1,019",4.41,50.78%,39.31%,-30.56%,"340,350","-126,921",-27.16%,Asia-Pacific (APAC),Active,2008-01-01,year,4,1001-5000,"Deepak Mittal, Narinder Kumar, Raman Mittal, Satya Sharma",,,,,
Radixweb,https://www.crunchbase.com/organization/radix-web,"Radixweb is a global information technology services, solutions and custom software development company. With proficiency in PHP, .NET, System Programming and Embedded Development, They function across an entire spectrum of industry garnering knowledge of core domain processes and industry standards. Radixweb is an expert in enterprise class real time applications hosted on Cloud or SaaS, device driver development, embedded applications for Windows and Linux and CRM applications using Microsoft SharePoint and Azure architectures.","Application Performance Management, Cloud Computing, Cloud Management, Consumer Applications, Information Services, Information Technology, SaaS, Software, Software Engineering, Web Development",https://radixweb.com/,"Ahmedabad, Gujarat, India",Radixweb is a Custom Software and Web Development Company.,"22,339","128,305","84,719.33",8.89%,-62.28%,86,1.14,2.3%,92.55%,0.03%,"463,875","-10,703",-2.26%,Asia-Pacific (APAC),Active,2000-07-21,day,2,251-500,"Dharmesh Acharya, Divyesh Patel",,,,,
ServerGuy,https://www.crunchbase.com/organization/serverguy,"ServerGuy is a managed cloud company that helps businesses of all sizes harness the power of cloud computing without the complexity and cost of managing it on their own. Our man + machine approach simplifies the process of management, migration, security, and optimization of customer's cloud infrastructure.","Cloud Computing, Cloud Management, Cloud Security, Web Hosting",https://serverguy.com,"Delhi, Delhi, India",The Managed Cloud Company,"236,033","85,934","82,787.83",-21.7%,-60.24%,169,1.17,5.16%,92.34%,0.09%,"606,275","108,255",21.74%,Asia-Pacific (APAC),Active,2009-01-01,year,2,11-50,"Arun Bansal, Sahil Chugh",,,,,
Neverinstall,https://www.crunchbase.com/organization/neverinstall,Neverinstall is a cloud platform that allows you to run any GUI application from the browser without installing anything. It is an alternative to traditional desktop applications and empowers people with the idea of using applications in a way they are more familiar with - as web apps.,"Cloud Management, Desktop Apps, Information Technology, Software",https://neverinstall.com,"Bengaluru, Karnataka, India","Neverinstall is a platform that offers cloud computing, assessments, and software services for accessing desktop applications.","67,441","56,458","144,992.5",-83.84%,-70.76%,498,3.79,-19.36%,32.57%,-11.23%,"773,375","560,183",262.76%,Asia-Pacific (APAC),Active,2019-01-01,year,2,51-100,"Lakshman Pasala, Ram Pasala",,,,,
VVDN Technologies,https://www.crunchbase.com/organization/vvdn-technologies,"VVDN is a Product Engineering & Manufacturing company focused on designing & manufacturing end-to-end products across several technology vertical markets (5G, Data Center, Vision, Networking, Wi-Fi, IoT, Defense, Cloud & Apps). VVDN’s India HQ is located at Gurgaon, India and its North America HQ’s is located in San Jose, CA, USA. VVDN serves global customers across several regions including US, Canada, Europe, India, Vietnam, Korea, and Japan. VVDN's business model includes Product Engineering Services and ODM Services. VVDN’s Product Engineering Team Strength is 2,500+ and VVDN’s Manufacturing Strength is 3,000+ in staff. VVDN has 9 advanced Product Engineering Centers in India, which are fully equipped to design & test the complete hardware & software required to develop a complete product or solution. VVDN’s Manufacturing facilities are located at Manesar, Gurgaon, India which includes in-house best-in-class SMT Factory, Molding & Tooling Factory, Product Assembly Factory, and Product Certifications labs. VVDN’s Engineering & Manufacturing facilities are fully complied to develop & manufacture Enterprise, Consumer, Industrial, and Automotive-grade products.","Cloud Management, Information Technology, Internet of Things, Manufacturing, Service Industry, Software",https://www.vvdntech.com,"Gurgaon, Haryana, India",Product Engineering | Cloud & Apps | Manufacturing,"2,664","50,931","97,531.83",-19.9%,15.7%,914,5.06,31.54%,29.67%,-4.9%,"854,600","138,418",19.33%,Asia-Pacific (APAC),Active,2007-04-26,day,2,1001-5000,"Bhupender Saharan, Vivek Bansal",,,,,
UNIDEL,https://www.crunchbase.com/organization/unidel,,"Cloud Management, Financial Services, Information Technology, Internet of Things",https://www.unidel-group.com/,"Mumbai, Maharashtra, India","UNIDEL is a technology group comprised of companies across the Industrial IoT, FinTech, and EdTech segments.","267,497","50,013",,413.74%,-91.07%,20,1.56,-29.29%,44.44%,-44.45%,"864,054","-1,348,644",-60.95%,Asia-Pacific (APAC),Active,1973-01-01,year,,251-500,,,,,,
ServerAvatar,https://www.crunchbase.com/organization/serveravatar,,"Cloud Management, Information Services, Information Technology",https://serveravatar.com,"Surat, Gujarat, India",ServerAvatar is a web application that allows you to self-manage your cloud without any technical knowledge of Linux.,"269,669","38,175","37,813.5",-9.18%,-56.36%,741,3.26,-6.89%,29.39%,-18.36%,"1,024,938","86,165",9.18%,Asia-Pacific (APAC),Active,2022-05-09,day,1,11-50,Adarsh Sojitra,,,,,
Atidan Technologies,https://www.crunchbase.com/organization/atidan-technologies,"Atidan Technologies is a software company. They provide services that include managed cloud services, custom development, staffing services, azure services, and sharepoint. Cloud infrastructure services offer azure sentinel​, azure encryption​, hybrid cloud management​,m cloud migrations​, fit check​, remote work support​, and more.","Cloud Data Services, Cloud Management, Information Technology, Software",https://atidantech.com,"Andheri, Maharashtra, India","Atidan Technologies provides digital business transformation, cloud infrastructure, and staffing​ services.","633,719","16,308","4,839.83",309.23%,,0,1,0%,100%,0%,"1,666,505","-1,932,362",-53.69%,Asia-Pacific (APAC),Active,2005-01-01,year,,101-250,,,,,,
Sale Assist,https://www.crunchbase.com/organization/sale-assist,"Sale Assist involves engaging, converting, and retaining customers. By bridging the online-offline gap, they use video to power real-time virtual commerce, in which companies build interactive consumer engagements in real-time. They provide cloud services.","Cloud Management, Consumer, Information Technology, SaaS, Video",https://www.saleassist.ai,"Delhi, Delhi, India",Sale Assist is a shopping SaaS company.,"239,637","13,303",,,,204,1.69,,50%,,"1,906,567",,,Asia-Pacific (APAC),Active,2020-01-01,year,3,51-100,"Ashish Nanotkar, Chetan Jangir, Deep Malik",,,,,
