Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Seagate Technology,https://www.crunchbase.com/organization/seagate,"Seagate offers consumers and businesses with data storage solutions to create, share, and preserve digital content. It designs, develops, and manufactures external and internal hard disk drives and associated software products. It sells its disk drives primarily to major original equipment manufacturers (OEMs), distributors, and retailers. The company produces a range of disk drive products addressing enterprise applications, where its products are designed for enterprise servers, mainframes, and workstations; client compute applications, where its products are designed for desktop and notebook computers; and client non-compute applications, where its products are designed for a range of end user devices such as digital video recorders (DVRs), personal data backup systems, portable external storage systems, and digital media systems. In addition to manufacturing and selling disk drives, it provides data storage services for small- to medium-sized businesses, including online backup, data protection, and recovery.","Cloud Storage, Consumer Electronics, Data Storage, Flash Storage, Hardware, Information Services, Manufacturing, Software",http://www.seagate.com,"Cupertino, California, United States","Seagate offers consumers and businesses with data storage solutions to create, share, and preserve digital content.","87,197","4,202,052","4,036,220.67",-13.52%,53.76%,429,2.6,7.8%,56.15%,-3.65%,"35,492","6,801",23.7%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,1979-01-01,year,2,10001+,"Alan Shugart, Finis Conner",26,"1,066",,,
Syncplicity,https://www.crunchbase.com/organization/syncplicity,"[Syncplicity](http://www.syncplicity.com/) provides file synchronization, back-up, and sharing. The service allows users to protect files with real-time backups and to share their files with others. Syncplicity offers unlimited storage and offers one click syncing and sharing.","Aerospace, Cloud Storage, Enterprise Software, Information Technology, Software",http://www.syncplicity.com,"Santa Clara, California, United States","Syncplicity is an enterprise-grade cloud file storage platform providing backup, sharing and synchronization solutions.","172,295","3,483,152","1,733,797.5",304.89%,83.85%,"3,074",13.37,47.91%,21.89%,12.2%,"41,209","-70,295",-63.04%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2007-01-01,year,2,11-50,"Isaac Hall, Leonard Chung",2,4,,,
Vultr Holdings Corporation,https://www.crunchbase.com/organization/vultr-holdings-llc,"Vultr, the Independent Cloud, provides developers and businesses around the world with easy-to-use, high-performance cloud infrastructure at a fraction of the cost of the Big Tech clouds. Featuring virtualized Cloud Compute, Bare Metal, and managed Kubernetes, Vultr has enabled over a million customers to run applications on an elastically scalable cloud that delivers industry-leading price-performance. Many customers prefer Vultr because it offers more than 20 data center locations, across 5 continents, allow them to minimize latency by placing computing power close to end users. Vultr is profitable, privately owned, and part of The Constant Company, LLC. Vultr Holdings was founded in 2014 by David Aninowsky with offices in Central New Jersey and South Florida.    We're hiring!  Join our team today at vultr.com/company/careers/","Cloud Computing, Cloud Infrastructure, Cloud Storage, Web Hosting",https://www.vultr.com,"West Palm Beach, Florida, United States","Vultr, the Independent Cloud, provides developers and businesses with powerful cloud infrastructure at an unbeatable price.","86,236","2,560,197","2,627,488.67",0.67%,14.38%,827,4.58,-2.3%,47.28%,-2.78%,"53,678","1,177",2.24%,"Greater Miami Area, East Coast, Southern US",Active,2014-01-01,year,1,101-250,David Aninowsky,,,,,
VPSie,https://www.crunchbase.com/organization/vpsie,"VPSie is a powerful, resilient cloud hosting ecosystem, supporting Linux common flavors, Windows server platforms as well as pre-made one-click apps. The industry serves a diverse and global customer base including; entrepreneurs, students, start-ups, and established businesses and developer types all over the world.","Cloud Data Services, Cloud Storage, Internet",https://www.vpsie.com,"Staten Island, New York, United States",VPSie is the automation hosting provider that delivers cloud hosting.,"213,735","1,493,450","1,391,489.5",118.88%,2.35%,"3,617",6.18,1.66%,38.86%,-15.17%,"81,240","-59,095",-42.11%,"Greater New York Area, East Coast, Northeastern US",Active,2014-01-01,year,,1-10,,,,,,
STACKPATH,https://www.crunchbase.com/organization/stackpath,"StackPath is a cloud platform built at the internet’s edge, providing infrastructure and services physically closer to the source or destination of data than hyperscale cloud service providers. StackPath Edge Compute (including virtual machines and containers), Edge Delivery (including CDN and serverless scripting), and Edge Security (including WAF) solutions run in edge locations strategically deployed in high-density markets and united by a secure global network and a single management system. Customers ranging from Fortune 50 enterprises to one-person startups trust StackPath to give their latency-sensitive workloads and real-time applications the speed, security, and efficiency they require. StackPath was founded in 2015, is headquartered in Dallas, and operates around the world.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Internet, Private Cloud",https://www.stackpath.com/,"Dallas, Texas, United States","Edge computing, edge delivery, & edge security solutions, enabling businesses to build, accelerate, & protect latency-sensitive workloads.","22,543","1,245,319","637,086.5",307.58%,69.28%,"1,102",5.13,39.52%,17.64%,-42.43%,"93,475","-156,613",-62.62%,"Dallas/Fort Worth Metroplex, Southern US",Active,2015-01-01,year,4,251-500,"James Leaverton, Jason Gulledge, Lance Crosby, Ryan Carter",,,3056185,USD,3056185
Reflected Networks,https://www.crunchbase.com/organization/reflected-networks,,"Cloud Storage, Information Technology, Web Hosting",https://reflected.net,"Longwood, Florida, United States","Reflected Networks provides cloud storage, managed hosting, and custom hosting services.","280,298","1,239,472","996,060.5",20.46%,65.11%,459,3.02,19.23%,17.82%,-16.14%,"90,626","-6,672",-6.86%,"East Coast, Southern US",Active,2001-01-01,year,,11-50,,,,,,
SeamlessDocs,https://www.crunchbase.com/organization/seamlessdocs,"SeamlessDocs empowers governments to go paperless and deliver better online services to citizens and staff. They specialize in form automation software and offer solutions to help governments go digital, deliver online services, and automate business processes. To date, SeamlessDocs has worked with hundreds of local and state agencies across the US, allowing millions of citizens to submit online forms from any browser or device with eSignatures, payments, and attachments. By providing governments with the tools to digitize their paper processes, the company hopes to shed light on its mission statement: ""Government is Beautiful.""","Cloud Storage, Enterprise Software, Government, GovTech, Information Technology, Software",https://www.SeamlessDocs.com,"New York, New York, United States",SeamlessDocs is no-code platform for form automation and eSignatures that governments use to digitize PDFs and optimize online services.,"14,335","1,236,730","792,894.5",90.67%,6.8%,424,1.77,-7.17%,72.08%,37.79%,"93,687","-51,863",-35.63%,"Greater New York Area, East Coast, Northeastern US",Active,2011-07-15,day,2,11-50,"Chachi Camejo, Jonathon Ende",,,42228,USD,42228
IDrive Inc.,https://www.crunchbase.com/organization/idrive-inc,"IDrive Inc. is a privately held company specializing in cloud storage, online backup, file sharing, remote access, compliance and related technologies. Core services include IDrive®, RemotePC™ and IBackup. The company's services help over 4 million customers back up over 500 Petabytes of data.","Cloud Data Services, Cloud Storage, Compliance, Flash Storage, Internet, Meeting Software, Security, Software",http://www.idrive.com,"Calabasas, California, United States",Cloud Backup provider allowing users to backup unlimited devices into a single account. Services offered include IDrive e2 and RemotePC.,"127,895","976,397","909,630.5",17.44%,33.49%,837,3.5,-6.7%,47.73%,10.41%,"111,684","-9,746",-8.03%,"Greater Los Angeles Area, West Coast, Western US",Active,1995-01-01,year,1,251-500,Raghu Kulkarni,21,"1,402",623491,USD,623491
MobiSystems,https://www.crunchbase.com/organization/mobisystems,"MobiSystems has been a leading provider of mobile productivity and business applications for over 20 years. Our solutions extend the usability of mobile devices across platforms, allowing for enhanced desktop-grade productivity regardless of location. As the developer of the award winning mobile app OfficeSuite, MobiSystems serves over 500 million individual and enterprise users in 195 countries. OfficeSuite leads app downloads and ratings in Google Play, Amazon App Store and Samsung Apps, as well as Apple's App Store.","Cloud Storage, Enterprise Software, Information Technology, Mobile Apps, Productivity Tools, Software",https://www.mobisystems.com/,"San Diego, California, United States",MobiSystems has been a leading provider of mobile productivity and business applications for over 20 years.,"166,660","825,621","1,313,971",-23.82%,34.94%,363,1.89,6.5%,46.99%,-21.6%,"122,033","28,532",30.52%,"Greater San Diego Area, West Coast, Western US",Active,2001-01-01,day,4,101-250,"Dimitar Mitev, Dimitar Mitev, Stanislav Minchev, Steve Gogov",,,50673,USD,50673
Middlespot,https://www.crunchbase.com/organization/middlespot,"Manage links, docs, feeds, images, videos, plugins and more on a visual desktop synced with Google Drive. Spend less time looking and more time doing. We rely on our digital resources when we're running a project or just managing our daily routines. But we've found bookmarking tedious, cloud drives linear, and other apps trying to do too much. It doesn't need to be this way. Imagine an enormous, borderless webpage, where you are free to group, cluster, and arrange digital resources that are most important to you. That's middlespot, the best way to keep the important resources we want always at our fingertips, organized how we work. Middlespot is free to use.","Cloud Storage, Productivity Tools, Search Engine, Visual Search",http://middlespot.com,"Bonita Springs, Florida, United States",Middlespot is an interactive content creation platform for designers.,"231,495","591,878","206,681.67",191.34%,"59,100%",592,1.33,13.61%,74.95%,-10.06%,"155,425","-154,051",-49.78%,"East Coast, Southern US",Active,2016-03-25,day,1,1-10,Scott Brownlee,,,,,
