Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Hasura,https://www.crunchbase.com/organization/hasura,"Hasura is a privately held software technology company that builds developer tooling products, including open-source tools, backend as a service, and platform as a service product. The Hasura GraphQL Engine provides GraphQL APIs over new or existing Postgres databases. It makes data access easy, by instantly composing a GraphQL API that is backed by databases and services so that the developer team gets immediately productive.  The company was founded in 2017 and has offices in Bangalore and San Francisco.","Cloud Infrastructure, Developer APIs, Developer Tools, Open Source, Software",http://hasura.io/,"Bangalore, Karnataka, India",Hasura is a software technology company that provides developer-focused tooling products.,"29,434","528,764","422,276.67",48.4%,4.52%,647,1.73,-10.41%,66.54%,-4.25%,"174,852","-47,470",-21.35%,Asia-Pacific (APAC),Active,2017-01-01,year,2,101-250,"Rajoshi Ghosh, Tanmai Gopal",1,,,,
Netcore Cloud,https://www.crunchbase.com/organization/netcore-solutions,"Netcore Cloud is a global Martech product company that helps B2C brands create amazing digital experiences with a range of products that help in acquisition, engagement, and retention.","Cloud Infrastructure, Digital Marketing, Email Marketing, Marketing Automation, Mobile Advertising, Predictive Analytics, SaaS, Telecommunications",https://netcorecloud.com,"Mumbai, Maharashtra, India","Netcore helps B2C brands create amazing digital experiences with a range of products that help in acquisition, engagement, and retention.","67,205","190,211","184,057",28.49%,1.77%,631,1.52,-24%,78.07%,7.05%,"342,864","-40,669",-10.6%,Asia-Pacific (APAC),Active,1998-01-01,year,1,501-1000,Rajesh Jain,,,,,
ONMO,https://www.crunchbase.com/organization/onmo,"ONMO develops online tools for mobile gaming through the cloud platform. It creates various types of mobile games that runs without device hardware and storage spaces. ONMO is based in Karnataka, India.","Cloud Computing, Cloud Infrastructure, Gaming, Mobile Apps, Online Games",https://www.onmo.com/,"Bangalore, Karnataka, India",ONMO develops online tools for mobile gaming through the cloud platform.,"274,841","108,811","35,061.17",110.47%,-54.05%,335,2.34,13.68%,11.08%,-65.47%,"500,798","-268,445",-34.9%,Asia-Pacific (APAC),Active,,,,,,,,,,
Bill Cloud,https://www.crunchbase.com/organization/bill-cloud,,"Cloud Infrastructure, Internet, Payments",http://www.billcloud.in/,"Pune, Maharashtra, India",Bill Cloud is a cloud-based multi-channel payments services provider.,"459,368","22,864","17,607",27.22%,817.39%,211,1.68,33.09%,80.82%,-8.07%,"1,410,595","-169,672",-10.74%,Asia-Pacific (APAC),Active,2013-01-01,day,1,1-10,Kumar Majethia,,,,,
NxtGen Data Center & Cloud Services,https://www.crunchbase.com/organization/nxtgen-data-center-cloud-services,"NxtGen delivers central IT platform as a service, including data center. NxtGen provides datacenter & cloud services from it’s own High Density Data Center (HDDC) facilities or deploy centrally managed On Premise Data Center (OPDC).","Cloud Computing, Cloud Infrastructure, Data Center, Information Technology, Software",http://nxtgen.com,"Bangalore, Karnataka, India","NxtGen Data Center and Cloud Services is IT platform-as-a-service, providing data center and enterprise cloud services to businesses.","17,612","22,539","14,237",21.56%,-73.4%,224,1.19,-64.14%,84.03%,37.21%,"1,393,333","-78,329",-5.32%,Asia-Pacific (APAC),Active,2012-01-01,year,4,101-250,"Kalidindi Bhaskar Varma, Raj Gopal A S, V. Kannan, Viral Thakkar",,,,,
DForDomains,https://www.crunchbase.com/organization/dfordomains,DForDomains.com is a globally recognized brand of ICANN Registrar Web Werks India Pvt. Ltd.. Our web infrastructure products help businesses build and nurture their presence online.,"Cloud Infrastructure, Cloud Security, Domain Registrar, Internet",http://dfordomains.com/,"Mumbai, Maharashtra, India",DForDomains.com web infrastructure products help businesses build and nurture their presence online.,"593,568","13,305",,"1,327.58%",2.32%,"1,192",24.4,403.23%,20%,32.01%,"1,906,380","-5,175,848",-73.08%,Asia-Pacific (APAC),Active,2007-09-27,day,3,11-50,"Nikhil Rathi, Nishant Rathi, Saurabh Pande",,,,,
Xongl,https://www.crunchbase.com/organization/xongl,"Xongl is the simplest cloud deployment platform. Whether you are a beginner or pro, Whether a start-up or an enterprise, whether your project runs on thousands of virtual machines or hundreds of dedicated servers, We are here for you. Our vision is Cloud for everyone by implementing Cloud with everything.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Storage, Private Cloud, Software, Web Hosting",https://www.xongl.com,"Chennai, Tamil Nadu, India",Cloud for everyone,"783,815","6,802",,,,261,4.43,,28.57%,,"2,691,357",,,Asia-Pacific (APAC),Active,2017-01-14,day,1,1-10,Samarjayee Paul,,,,,
Nous Infosystems,https://www.crunchbase.com/organization/nous-infosystems,"Nous Infosystems is a leading global product engineering and IT services US-based company, empowering customers to future-proof their business by transforming them into digitally resilient organizations. Nous was founded with the vision of using technology to make a difference to customers and Nouseans. Today, we have grown into a global software services provider with a presence in 5 continents, reputed for product engineering expertise, and for our commitment to the success of the enterprises we serve. Nous Infosystems is an Information Technology provider delivering quality technology solutions to customers across the globe. We enable enterprises and technology providers to embrace innovation and stay ahead of the digital disruption curve. We have delivered futuristic yet cost-effective solutions in product engineering, digital transformation, data analytics, cloud, and more. We bring proven expertise and experience in delivering best-of-breed business technology solutions, making us the preferred technology partner to several global 2000 enterprises and ISVs. Customer-centricity is at the heart of everything we do. With deep competencies in digital transformation, cloud computing, data analytics, business intelligence, independent software testing, and remote infrastructure management, we empower our customers to embrace innovation and stay ahead of the digital disruption curve. We have in-depth expertise in Vertical & Technology ISV segments. Our investments in building top talent in digital, centers of competencies in emerging technologies, and key product partnerships have helped us to achieve the high standards of excellence that we have set for ourselves.","Analytics, Cloud Computing, Cloud Infrastructure, Data Visualization, Information Technology, IT Infrastructure, IT Management, Software, Software Engineering",https://www.nousinfosystems.com,"Bangalore, Karnataka, India",A leading global product engineering and IT service US-based company with a presence in 5 continents.,"134,206","6,205","4,954",251.16%,-55.42%,37,3.1,3.4%,47.41%,26.36%,"3,126,072","-2,056,646",-39.68%,Asia-Pacific (APAC),Active,1996-06-10,day,1,1001-5000,Ajith J Pillai,,,,,
Prodevans Technologies,https://www.crunchbase.com/organization/prodevans-technologies,Cloud based partner service provider.,"Cloud Infrastructure, Information Technology, Small and Medium Businesses",https://prodevans.com,"Bengaluru, Karnataka, India","Prodevans Technologies offers cloud Automation, disaster recovery, and managed services.","310,943","5,029",,577.76%,,460,1.63,62.62%,56.18%,-43.82%,"3,397,326","-3,452,516",-50.4%,Asia-Pacific (APAC),Active,2014-01-01,year,1,51-100,Deepak Mishra,,,,,
SRM Technologies,https://www.crunchbase.com/organization/srm-technologies,"SRM Technologies is a specialist IT services provider offering Cloud and Infrastructure, Digital Transformation, Managed IT Services, Application Lifecycle, Quality Assurance, eCommerce and Product Engineering services. These are offered to the Education, Automotive, Manufacturing, Consumer, Transportation & Logistics, Supply Chain and Healthcare industries. We offer our customers the ability to not only manage their existing IT landscape but put in place a roadmap and execute upon it so they embrace digital - not just in the frontend customer touchpoints but in their backend processes as well. Our passionate employees exemplify our core belief - ‘ideas@work’. At the heart of it is our belief that ideas and the resulting innovation are useful only when they make a difference to our customer’s business and the lives of their end-customers. We believe in the practical application of these ideas and its transformative impact. We are part of the SRM Group, a multinational conglomerate that has been in business for over four decades and operates in the Education, Technology, Healthcare and Media sectors. You will find this seed of entrepreneurship and a hands-on execution ability in everything we deliver. We look forward to hearing from you and the opportunity to work with you. SRM Technologies. ideas@work","Cloud Infrastructure, E-Commerce, Enterprise Applications, Information Technology, Quality Assurance, Software Engineering",http://www.srmtech.com,"Chennai, Tamil Nadu, India","Cloud & Infra, Digital Transformation, Managed IT Services, Application Lifecycle, Quality Assurance, eCommerce & Product Engineering","219,215","4,806",,199.07%,475%,92,1.5,-20.23%,62.5%,423.01%,"3,465,690","-1,628,280",-31.96%,Asia-Pacific (APAC),Active,1998-01-01,year,1,1001-5000,DR. SATHYANARAYANAN P.,,,,,
