Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Fitsys,https://www.crunchbase.com/organization/fitsys,"Cloud-based software for managing fitness clubs, Yoga, SPA, and Crossfit studios. Feature-rich, fast, easy to use, and an all-in-one solution for your sports business. Manage your customer memberships, accept bookings straight from your website or mobile application, send invoices, sales, inventory, reports, instructor commissions, physical access control system, and many more. Impress your customers and increase engagement through your branded mobile application.  Fitsys is an easy and reliable way to manage multiple sports sites, grow and retain a customer base.","Cloud Management, Data Storage, Fitness, Software",https://www.fitsys.com/,"Sofia, Grad Sofiya, Bulgaria",Fitsys is a cloud-based software for managing multiple sports sites and customer memberships through the website and mobile applications.,"1,629,289","27,789,131","9,409,757.33",61.52%,61.03%,"3,008",3.18,-4.17%,40.17%,31.92%,"6,215","-3,019",-32.69%,European Union (EU),Active,2015-01-01,year,,1-10,,,,,,
OpenCampus,https://www.crunchbase.com/organization/opencampus,"OpenCampus is an online research and campus management platform that provides its users with educational tools and solutions. The platform features cloud-based courses, examinations, applications, course evaluations, payments, reports, academic records, authoring systems, attendance monitoring, shibboleth, and facility management systems. In addition, it offers IT and BP consulting, project management, training, and support services to its users. OpenCampus provides a novel concept for educational institutions to manage their processes and service their students. Its patented open adoption software (OAS) technology allows institutions and contributors from all over the world to design and add features, content and to collaborate within the OpenCampus network. Their mission is to make education easier and provide access to education for everybody, everywhere.","Cloud Management, Education, Information Technology, Software",http://www.opencampus.net,"Munich, Bayern, Germany",OpenCampus provides an open adaptive software (OAS) framework in the field of education & training.,"81,348","4,205,254","748,471.67","13,739.9%","1,307.6%","2,407",1.51,-44.45%,70.16%,6.43%,"36,137","-1,113,786",-96.86%,European Union (EU),Active,2009-01-01,year,1,11-50,Kirsten Heiss,3,2,,,
SmartOLT,https://www.crunchbase.com/organization/smartolt,,"Cloud Management, Communications Infrastructure, Internet, Telecommunications",https://www.smartolt.com,"Targu-mures, Mures, Romania",SmartOLT focuses on supplying integrated solutions and services to telecommunication providers such as ZTE and Huawei OLTs.,"1,041,011","3,498,197","1,320,935.5",508.13%,23.95%,"2,852",9.82,9.69%,18.66%,-22.06%,"41,912","-119,024",-73.96%,European Union (EU),Active,2004-08-31,day,,1-10,,,,,,
Cloudways,https://www.crunchbase.com/organization/cloudways,"Founded in 2012, Cloudways is an intuitive, one-click managed cloud hosting platform that supports more than 72K customers globally. G2’s Best Managed Hosting Provider for SMBs for 2021; the platform lets users host WordPress, Magento, PHP, and WooCommerce websites on top of a variety of cloud-hosting providers including Google Cloud, Amazon Web Services, DigitalOcean, Vultr, and Linode. Cloudways houses a feature-rich Web App Management Platform that can be used to easily launch cloud servers for the deployment of web apps. The Platform provisions from DigitalOcean, Vultr, Amazon, Google, and Linode, with a user-friendly interface that offers integrated SSH, Git deployment, FREE SSL, API, CloudwaysBot, and hosts of other features and add-ons.  In addition to the infrastructures, the Platform offers users the liberty to deploy their favorite online web applications, including WordPress, Magento, PHP Stack, OpenCart, and Drupal. Most functions on the Platforms can be performed with 1-click, including server deployment, deletion, App Deployment, and Free SSL. Some Salient Features of Cloudways include:  * Auto Scaling, High Availability * Bot Protection * Multi-tier, Multi-Cloud Deployment  * CDN Integration  * Onsite + Offsite Backup  * ThunderStack - Optimal Caching Mechanism (Varnish, Memcache, Apache, Nginx, PHP-FPM, * Optional Redis Cache) * 24/7 Support * Real-time insights and notifications with CloudwaysBot * API * Dedicated Staging Environment Starts at $10.00/month. Find out more at: http://www.cloudways.com/en","Cloud Management, CMS, PaaS, SaaS, Web Hosting",https://www.cloudways.com,"Sliema, NA - Malta, Malta","Cloudways is a managed cloud hosting solution provider for agencies, bloggers, e-commerce, and developers.","57,829","3,104,812","3,004,491.67",-10%,25.17%,567,2.43,-3.34%,49.33%,-1.5%,"46,073","4,519",10.88%,European Union (EU),Active,2012-01-01,year,4,251-500,"Aaqib Gadit, Pere Hospital, Umair Gadit, Uzair Gadit",1,,,,
start.me,https://www.crunchbase.com/organization/start-me-2,"start.me offers a web-based personal start page with an integrated bookmarks manager, support for news feeds and a library with thousands of widgets that help you connect to popular services and custom data sources.","Cloud Management, Developer Tools, Education, Web Browsers",https://start.me,"Den Haag, Zuid-Holland, The Netherlands","start.me offers its users a cloud-based customizable start page to organize bookmarks, feed, notes, and to-do lists.","244,886","2,384,152","2,918,269.33",-7.68%,9.67%,"1,531",1.86,-10.31%,64.99%,11.08%,"56,823","4,887",9.41%,European Union (EU),Active,2014-02-03,day,2,1-10,"Arjen Robijn, Michiel de Wit",,,,,
Számlázz.hu,https://www.crunchbase.com/organization/számlázz-hu,"Számlázz.hu offers servcies on invoicing, online invoicing, e-invoice, cloud invoicing, fintech, online invoicing, and SaaS.","Cloud Data Services, Cloud Management, SaaS, Software",https://www.szamlazz.hu/szamla/main,"Budapest, Budapest, Hungary",Számlázz.hu is a online billing and invoicing software market.,"645,494","1,979,960","1,444,482.83",37.94%,50.54%,840,6.1,13.99%,33.16%,-9.55%,"63,807","-12,085",-15.92%,European Union (EU),Active,2005-01-01,year,,11-50,,,,,,
WodGuru,https://www.crunchbase.com/organization/wodguru,,"Cloud Management, Mobile Apps, Software",https://wod.guru,"Poznan, Wielkopolskie, Poland",WodGuru offers a cloud-based gym management web platform and mobile app.,"759,535","1,920,678","1,258,815.33",154.64%,-2.85%,988,1.44,-3.99%,73.59%,4.37%,"65,308","-58,404",-47.21%,European Union (EU),Active,2016-01-01,year,,1-10,,,,,,
MariaDB,https://www.crunchbase.com/organization/mariadb,"MariaDB frees companies from the costs, cloud lock-in, constraints and complexity of proprietary databases, enabling them to reinvest in what matters most – rapidly developing innovative, customer-facing applications. MariaDB uses pluggable, purpose-built storage engines to support workloads that previously required a variety of specialized databases. With complexity and constraints eliminated, enterprises can now depend on a single complete database for their needs, whether on commodity hardware or their cloud of choice. Deployed in minutes for transactional, analytical or hybrid use cases, MariaDB delivers unmatched operational agility without sacrificing key enterprise features, including real ACID compliance and full SQL. Trusted by organizations such as Bandwidth, DigiCert, InfoArmor, Oppenheimer, Samsung, SelectQuote, SpendHQ – MariaDB meets the same core requirements as proprietary databases at a fraction of the cost. No wonder it’s one of the fastest growing database management systems companies. Real business relies on MariaDB™.","Cloud Management, Database, Enterprise Software, Open Source, Software, Technical Support",https://mariadb.com/,"Espoo, Southern Finland, Finland",MariaDB is a new generation cloud database company whose products have been downloaded over 1B times and used by 75% of the Fortune 500.,"2,063","1,650,601","1,400,435.67",55.3%,13.32%,434,1.83,14.35%,70.39%,-7.66%,"75,298","-26,235",-25.84%,"European Union (EU), Nordic Countries, Scandinavia",Active,2009-10-29,day,7,251-500,"Kaj Arnö, Max Mether, Michael Carney, Michael Widenius, Patrik Backman, Ralf Wahlsten, Ulf Sandberg",,,4427980,USD,4427980
BRS Golf,https://www.crunchbase.com/organization/brsgolf,,"Apps, Cloud Management, Information Technology, Reservations",https://www.brsgolf.com/web/,"Belfast, Belfast, United Kingdom",BRS Golf specializes in offering cloud-based golf tee time booking reservation systems to its diverse clientele.,"292,775","1,282,004","1,991,125.67",102.85%,-53.16%,252,3.56,-7.54%,15.72%,-64.67%,"88,379","-51,368",-36.76%,,Active,2003-10-23,day,2,101-250,"Brian Smith, Rory Smith",,,,,
Sona Systems,https://www.crunchbase.com/organization/sona-systems,,"Cloud Management, Service Industry, Software",https://www.sona-systems.com/,"Tallinn, Harjumaa, Estonia",Sona Systems is a software company that offers cloud-based research solutions for universities.,"319,027","1,105,272","3,250,550.17",2.18%,-27.18%,493,5.12,-8.09%,45.6%,11.71%,"98,697","5,074",5.42%,European Union (EU),Active,2002-01-01,year,,51-100,,,,,,
Tripletex,https://www.crunchbase.com/organization/tripletex,,"Cloud Management, Financial Services",http://www.tripletex.no,"Oslo, Oslo, Norway",Tripletex is a cloud-based finance system made with various modules which can be assembled as needed.,"274,893","1,082,624","510,765.5",131.73%,-44.88%,738,2.9,-32.28%,44.2%,15.86%,"103,424","-80,522",-43.77%,"Nordic Countries, Scandinavia",Active,2002-01-01,day,,101-250,,,,,,
CodeNOW,https://www.crunchbase.com/organization/stratox,,"Banking, Cloud Computing, Cloud Infrastructure, Cloud Management, Enterprise Software, Information Technology, Private Cloud, SaaS, Software, Web Development",https://www.codenow.com,"Prague, Hlavni mesto Praha, Czech Republic","CodeNOW is a software platform as a service, enabling businesses to deliver multi and hybrid cloud software faster – cost-efficient.","40,967","949,540","186,558.33",817.06%,-23.42%,"2,844",22.52,44.78%,18.01%,-27.23%,"110,206","-376,816",-77.37%,European Union (EU),Active,2018-01-01,year,,51-100,,,,,,
Golfmanager,https://www.crunchbase.com/organization/golfmanager,"Golfmanager is a customizable modular system that allows them to remotely control the entire golf facility, no matter where they are. Easily integrate accounting, analytics, tax tools, tour operators, and marketing platforms into their golf club management software.","Cloud Management, Marketing, Software",https://golfmanager.com,"Madrid, Madrid, Spain",Golfmanager is an all-in-one cloud-based solution for golf clubs to digitize and manage their daily operations.,"373,021","908,775","958,417.83",532.28%,-97.16%,61,1.08,-30.16%,96.39%,26.13%,"117,871","-297,012",-71.59%,European Union (EU),Active,2018-01-01,year,,11-50,,,,,,
