Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
HostBooks,https://www.crunchbase.com/organization/hostbooks-limited,"HostBooks, an automated all-in-one accounting & compliance software provides you with a comprehensive platform for GST, TDS, Accounting, Tax & Payroll. It aims at reducing the compliance time by at least 50% which consequently cuts down the cost by half. Being an NSDL approved service provider and an Amazon Web Services (AWS) consulting partner, the authenticity speaks itself.","Accounting, Cloud Storage, Consulting, Financial Services, FinTech, Human Resources, Information Technology, Small and Medium Businesses, Software",https://www.hostbooks.com/in,"Gurgaon, Haryana, India","HostBooks is an Accounting Solutions company that provides a comprehensive platform for TDS, GST, eWay Bill, Accounting, Tax, and Payroll.","23,955","169,945","74,311.33",218.17%,-23.2%,576,1.94,-9.8%,69.28%,-0.62%,"383,565","-420,788",-52.31%,Asia-Pacific (APAC),Active,2009-11-03,day,2,251-500,"Biswajit Mishra, Kapil Rana",,,,,
MSys Technologies,https://www.crunchbase.com/organization/msys-technologies,"MSys Technologies is a reliable partner for product engineering services and digital transformation projects for its ISV and Enterprise clientele. We design, develop, and manage modern distributed systems and complex ecosystem integrations.   Their solutions have helped clients achieve their business goals of increased productivity, scalability and cost reduction. MSys Technologies takes care of all that are needed for our clients to focus on what they do best–their business. Their clients include storage stalwarts like NetApp, Tintri, DDN, Nimble Storage, Lantronix, Eurotech, and Panasas, to name a few.","Big Data, Cloud Computing, Cloud Storage, Data Storage, Embedded Systems, Enterprise Software, Industrial Automation, Internet of Things, Quality Assurance, Software",https://www.msystechnologies.com/,"Chennai, Tamil Nadu, India",MSys Technologies is a reliable partner for product engineering & digital transformation projects for its ISV & Enterprise clientele.,"112,240","18,326","11,354.83",143.7%,-7.41%,837,1.37,-22.37%,69.52%,27.61%,"1,592,488","-933,410",-36.95%,Asia-Pacific (APAC),Active,2007-01-01,year,1,501-1000,Sanjay Sehgal,,,,,
ImageShare,https://www.crunchbase.com/organization/imageshare,,"Cloud Storage, Enterprise Software, File Sharing, Software",http://imageshare.co.in,"New Delhi, Delhi, India",ImageShare specializes in online sharing of medical images across networks with software that include enterprise cloud and other features.,"1,443,847","16,922","5,557.33",400.8%,"41,900%","2,265",1.14,13.95%,86.05%,-13.95%,"1,663,119","-2,336,939",-58.42%,Asia-Pacific (APAC),Active,2013-01-01,day,2,1-10,"Sanjeev Choudhary, Venkatesan Balasubramanian",,,,,
Nuvepro,https://www.crunchbase.com/organization/nuvepro,"Nuvepro provides Hands-on labs/Virtual IT labs for any form of software training and assessments. Our platform is used by organizations to provide these pre-configured sandboxes to their employees on technologies such as Cloud, Big Data, Kubernetes, Cyber security, and Web3. Software vendors use our platform to provide pre-configured sandboxes to their sales, and marketing teams to provide pre-configured sandboxes of their software tools to demonstrate and onboard customers, thereby enabling Product Led Growth.","Cloud Storage, CRM, Information Technology, Software",http://www.nuvepro.com,"Bangalore, Karnataka, India",We provide Hands On Labs for Training,"26,117","10,985","14,551.67",-38.91%,-66.26%,521,3.04,-49.56%,19.57%,-7.47%,"2,128,113","548,334",34.71%,Asia-Pacific (APAC),Active,2014-11-01,day,2,11-50,"Giridhar L V, Janakiraman Srinivasan",,,,,
Software & Mobile App Development Company Chennai | Lia Infraservices,https://www.crunchbase.com/organization/lia-infraservices,"Being in the IT industry for 10 years, we have expert knowledge of Amazon Web Services, Azure, and Vcloud. Infrastructure offshore support: Server Support, Remote Desktop support Expertise in Windows, AIX, SAN and Linux Servers","Cloud Data Services, Cloud Security, Cloud Storage, Information Technology, Mobile Apps, Service Industry, Software, Web Design, Web Development",http://liainfraservices.com/,"Chennai, Tamil Nadu, India",Lia Infraservices provides Effective Cloud Migration Services for companies to migrate to cloud quickly keeping all Information secured.,"477,027","8,625","6,565.67",-36.99%,-12.06%,766,2.3,-24.32%,66.57%,15.05%,"2,359,916","626,819",36.17%,Asia-Pacific (APAC),Active,2016-01-01,year,1,51-100,Partho Das,,,,,
Xongl,https://www.crunchbase.com/organization/xongl,"Xongl is the simplest cloud deployment platform. Whether you are a beginner or pro, Whether a start-up or an enterprise, whether your project runs on thousands of virtual machines or hundreds of dedicated servers, We are here for you. Our vision is Cloud for everyone by implementing Cloud with everything.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Storage, Private Cloud, Software, Web Hosting",https://www.xongl.com,"Chennai, Tamil Nadu, India",Cloud for everyone,"783,815","6,802",,,,261,4.43,,28.57%,,"2,691,357",,,Asia-Pacific (APAC),Active,2017-01-14,day,1,1-10,Samarjayee Paul,,,,,
InKnowTech,https://www.crunchbase.com/organization/inknowtech,"InKnowTech (IKT) is 17+ years old, established Managed Services Provider based in Bangalore with core competency in transforming IT Operations for businesses that want to go “Digital”. We helps transform legacy IT environments to agile, digital-ready architectures, and provides managed delivery of the new digital experience to customers and enterprises.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Storage, Data Center, Information Technology, IT Infrastructure, Network Hardware, Network Security",https://inknowtech.com/,"Bengaluru, Karnataka, India",Transforming IT Operations,"256,372","4,590",,"1,828.57%",,167,3.14,214.12%,64.31%,-35.69%,"3,566,448","-5,921,653",-62.41%,Asia-Pacific (APAC),Active,2002-01-01,year,2,501-1000,"Mahesh B, Sanjay V.P",,,,,
AssessMachine,https://www.crunchbase.com/organization/assessmachine,,"Cloud Storage, Recruiting, Software",http://assessmachine.com,"Hyderabad, Andhra Pradesh, India",AssessMachine offers an auto-proctored and advanced remote interviewing solution that enables companies only with promising candidates.,"1,097,832","4,101",,,,"1,820",6.63,,18.57%,,"3,716,173",,,Asia-Pacific (APAC),Active,2015-01-01,day,1,1-10,Amit Kripalani,,,,,
Wavelabs Technologies Private Limited,https://www.crunchbase.com/organization/wavelabs-technologies-private-limited,"We are a cloud-native, tech-first company that embraces disruptive technologies to offer real-time solutions and breakthrough paths for complex issues. We think digitally and differently to drive innovation and create the right noise for products we build. While bringing together only the best of technology expertise and experience, our working style is a concoction of design thinking, agile and lean startup methodology, DevOps etc.  ","Big Data, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Enterprise Software, Software, Software Engineering",https://www.wavelabs.ai/,"Hyderabad, Andhra Pradesh, India","We are a cloud-native, tech-first company that embraces disruptive technologies to offer real-time solutions for complex issues.","136,057","2,732","1,995",-27.78%,-83.02%,36,1.5,-7.1%,50%,-22.93%,"4,402,179","715,868",19.42%,Asia-Pacific (APAC),Active,2007-01-01,year,1,101-250,Vineel Nalla,,,,,
Newfang,https://www.crunchbase.com/organization/newfang,"Newfang is a new Decentralized Cloud Storage Platform for Web 3.0 Applications, powered by EOS Blockchain. Newfang helps apps offer their users privacy and ownership of their data, make use of edge computing to serve content faster, reduce costs up to 50%, and remain resilient to attacks/data breaches/censorship without a central point of failure, through a decentralized network of storage nodes. Completely transparent with cryptographic proofs that are publically verifiable.","Blockchain, Cloud Data Services, Cloud Security, Cloud Storage, Privacy",https://www.newfang.io,"Bengaluru, Karnataka, India","Newfang is a new Decentralized Cloud Storage Platform for Web 3.0 Applications (DApps) & Developers, powered by EOS Blockchain.","504,862","1,640",,,,0,1,,100%,,"5,658,054",,,Asia-Pacific (APAC),Active,2019-05-01,day,1,1-10,Mayur Relekar,,,,,
Microworld Infosol Pvt. Ltd.,https://www.crunchbase.com/organization/microworld-infosol-pvt-ltd,"IT infrastructure company in India Microworld Infosol was established in 2008 with a focus on providing state-of-the-art technology solutions in association with Global IT leaders. In over a decade of its operations, Microworld has been consistently providing world class IT solutions to a large number of channel partners and corporates in India and has grown to be a multimillion dollar company. Headquartered in Faridabad, Microworld Infosol is spread across NCR catering to pan India requirement.","Cloud Storage, Facility Management, IT Infrastructure, IT Management, Network Security, Software",https://www.microworldinfosol.com,"Faridabad, Haryana, India",IT infrastructure and IT solutions provider in India.,"331,082","1,511",959.17,73.08%,58.09%,"1,075",4.33,48.42%,55.59%,-21.15%,"6,156,405","-999,654",-13.97%,Asia-Pacific (APAC),Active,2008-07-02,day,1,11-50,Vikram Singh Dayma,,,,,
Systron Micronix,https://www.crunchbase.com/organization/systron-micronix-pvt-ltd,"Leaders in Dedicated Servers, VPS, Cloud VPS, Shared Hosting, Email solutions, SSL, Cloud Backup and Domains.","Cloud Data Services, Cloud Infrastructure, Cloud Storage, Web Hosting",https://systron.net,"Nagpur, Maharashtra, India",Web Hosting and Cloud Solutions,"1,049,492","1,447",,,,916,1.33,,66.59%,,"6,033,924",,,Asia-Pacific (APAC),Active,2007-06-29,day,1,1-10,Syed Khaja Sirajuddin,,,,,
Ninth Dimension,https://www.crunchbase.com/organization/ninth-dimension,,"Cloud Storage, Consulting, Enterprise",http://www.9thdimension.co.in/,"Bengaluru, Karnataka, India","Ninth Dimension offers storage, compute, virtualizations, datacenter solutions, WAN optimization and cloud services.","943,596","1,204",,350.94%,,0,1,0%,100%,0%,"6,783,978","-2,530,491",-27.17%,Asia-Pacific (APAC),Active,2010-01-01,year,1,11-50,Bhargav Balla,,,,,
