Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Matterport,https://www.crunchbase.com/organization/matterport,"Matterport is the digital transformation of the built world. The Company’s groundbreaking spatial computing platform turns buildings into data making every space more valuable and accessible. Millions of buildings in more than 150 countries have been transformed into immersive Matterport digital twins to improve every part of the building lifecycle from planning, construction, and operations to documentation, appraisal and marketing.","3D Technology, Cloud Computing, Data Visualization, Virtual Reality",http://www.matterport.com,"Sunnyvale, California, United States",Matterport is a developer of a 3D media platform used to establish 3D and virtual reality models.,"17,479","28,175,899","30,384,739.67",-17.1%,3.16%,915,1.44,3.72%,78.23%,0.81%,"5,699",907,18.93%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2011-01-01,year,3,251-500,"Dave Gausebeck, Matt Bell, Mike Beebe",6,"122,043",,,
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,"DigitalOcean is a cloud computing platform that deploys, manages, and scales applications of any size. Its infrastructure and platform-as-a-service solutions provide a no DevOps required experience, allowing developers to focus their energy on creating innovative software. By combining the power of simplicity, love for the developer community, an obsession for customer service, and the advantages of open source, DigitalOcean brings software development within the technical and economic reach of anyone around the world. DigitialOcean was formed in 2012 and is headquartered in New York, New York.","Cloud Computing, SaaS, Virtualization, Web Hosting",http://www.digitalocean.com,"New York, New York, United States","DigitalOcean provides a cloud platform to deploy, manage, and scale applications of any size.","18,797","25,870,482","20,655,641",12.5%,-24.26%,665,1.84,3.44%,73.06%,-1.4%,"6,249","-1,125",-15.26%,"Greater New York Area, East Coast, Northeastern US",Active,2012-01-01,year,4,501-1000,"Alec Hartman, Ben Uretsky, Mitch Wainer, Moisey Uretsky",,,18036123,USD,18036123
Zapier,https://www.crunchbase.com/organization/zapier,Zapier helps anyone to automate the most tedious parts of a day to day job. The company believes that there are jobs that a computer is best at doing and that there are jobs that a human is best at doing. Zapier wants to empower businesses everywhere to create processes and systems that let computers do what they are best at doing and let humans do what they are best at doing.,"Cloud Computing, Data Integration, SaaS, Software",https://www.zapier.com,"San Francisco, California, United States",Zapier allows its users to easily connect and automate the apps they use.,"46,090","10,027,485","12,418,483.67",-25.25%,-8.94%,652,3.35,-9.62%,51.99%,13.37%,"16,872","5,205",44.61%,"San Francisco Bay Area, West Coast, Western US",Active,2011-10-01,day,3,251-500,"Bryan Helmig, Mike Knoop, Wade Foster",,,,,
Workable,https://www.crunchbase.com/organization/workable-hr,"Workable is the world’s leading hiring platform. We provide in-house recruiters and hiring teams with more ways to find more qualified candidates, and help them work together to identify and hire the best. Companies who use our software get from requisition to offer letter faster, with automated and AI-powered tools that source and suggest candidates, simplify decision making and streamline the hiring process. Workable was founded in 2012, and has since helped more than 20,000 companies hire one million candidates. We employ over 250 people across Greece, Australia, the US and the UK, and work with a diverse group of organizations, including HireVue, JOEY Restaurants, Bevi, Soho House, RyanAir, Sephora and many more.","Cloud Computing, Human Resources, Recruiting, SaaS, Software",http://www.workable.com,"Boston, Massachusetts, United States","Workable is the world’s leading hiring platform, where companies find, evaluate and hire better candidates, faster.","2,480","9,303,986","13,785,581.83",-65.9%,-76.67%,507,1.63,32.28%,68.97%,-21.49%,"18,051","12,402",219.54%,"Greater Boston Area, East Coast, New England",Active,2012-09-01,day,2,251-500,"Nikos Moraitakis, Spyros Magiatis",1,202,,,
Algolia,https://www.crunchbase.com/organization/algolia,"Algolia is the search-as-a-service platform that enables companies of all sizes to deliver fast and relevant digital experiences that drive real results. With Algolia, consumers are able to easily find and discover what they want across the web, mobile, and voice. Algolia allows developers and business teams to build and optimize delightful Search & Discovery experiences that increase online engagement, conversion rates, and revenue.","Cloud Computing, Search Engine, Semantic Search, Vertical Search",https://www.algolia.com,"San Francisco, California, United States",Algolia is the Search-as-a-Service platform that enables companies to deliver fast and relevant digital experiences that drive real results.,"3,815","7,508,652","4,419,959.17",29.13%,36.74%,763,1.79,-17.08%,67.26%,16.07%,"22,010","-5,149",-18.96%,"San Francisco Bay Area, West Coast, Western US",Active,2012-01-01,year,2,501-1000,"Julien Lemoine, Nicolas Dessaigne",1,,1333712,USD,1333712
Segment,https://www.crunchbase.com/organization/segment-io,"Segment provides the customer data infrastructure that helps businesses put their customers first. Using Segment, companies can collect, unify, and connect their first-party to over 200 marketing, analytics, and data warehouse tools. It was founded in 2011 and headquartered in San Francisco, California.","Analytics, Big Data, Cloud Computing, Infrastructure, SaaS",http://segment.com,"San Francisco, California, United States",Segment provides customer data infrastructure that helps businesses put their customers first.,"7,460","6,105,188","6,867,675.83",-22.91%,-15.53%,555,1.46,6.68%,77.19%,-5.55%,"26,027","7,133",37.75%,"San Francisco Bay Area, West Coast, Western US",Active,2011-09-01,month,4,501-1000,"Calvin French-Owen, Ian Storm Taylor, Ilya Volodarsky, Peter Reinhardt",1,,337259,USD,337259
SOHA SYSTEMS,https://www.crunchbase.com/organization/soha-systems,"Soha Systems is the innovator of Enterprise Secure Access delivered as a service. Our service, Soha Cloud, creates a “cloud perimeter” to protect an organization’s infrastructure from Internet threats, including distributed denial of service (DDoS) attacks and botnets. Soha Cloud also minimizes a customer’s attack surface, hides applications from public exposure and grants authenticated users micro-granular access to specific applications. Unlike stand-alone, legacy security tools and network access methods, Soha Cloud integrates data path protection, identity access, application security and management visibility into a single solution to create a cloud perimeter between a user organization’s infrastructure and the Internet.","Cloud Computing, Enterprise Software, Network Security",https://www.akamai.com,"Sunnyvale, California, United States",Soha Systems is the innovator of Enterprise Secure Access delivered as a service.,"31,842","5,039,558","4,042,195.33",45.38%,65.14%,"1,833",12.74,139.71%,34.21%,-28.28%,"30,593","-7,150",-18.94%,"San Francisco Bay Area, Silicon Valley, West Coast",Closed,2013-01-01,year,2,11-50,"Hanumantha Kavuluru, Haseeb Budhani",3,,,,
AppSheet,https://www.crunchbase.com/organization/appsheet,"AppSheet is the intelligent no-code platform for business apps. It also enables business users to leverage their business data and build powerful, code-free apps. The company connects with a range of data sources including spreadsheets on Google Drive, Office 365, Dropbox, and Box, relational databases like SQLServer, MySQL, Postgres, AWS Aurora, and Oracle, cloud SaaS services like Salesforce, Smartsheet, AirTable, and many more.  AppSheet quickly generates a working application that can be customized, enhanced, branded and deployed. The apps can be rich in function (offline access, workflow rules, machine learning, etc) and run on the web, iOS, Android, and messaging platforms. AppSheet was founded in 2014 and is headquartered in Seattle, WA, USA.","Big Data, Cloud Computing, Developer Tools, Information Technology, iOS, Mobile Apps, Software",https://www.appsheet.com,"Seattle, Washington, United States",AppSheet is the intelligent no-code platform for business apps.,"11,950","4,996,151","3,324,040.5",116.92%,29.31%,"1,403",3.48,14.37%,40.04%,-16.77%,"30,746","-21,618",-41.28%,"Greater Seattle Area, West Coast, Western US",Active,2012-01-01,year,2,11-50,"Brian Sabino, Praveen Seshadri",5,"139,209",,,
Elastic,https://www.crunchbase.com/organization/elasticsearch,"Elastic develops the open source Elastic Stack (Elasticsearch, Kibana, Beats, and Logstash), X-Pack (which offers commercial features for the Elastic Stack), and Elastic Cloud (a family of SaaS offerings). To date, there have been more than 250 million cumulative downloads of the Elastic Stack.  Elastic is used by thousands of organizations including Cisco, eBay, Goldman Sachs, NASA, Microsoft, Mayo Clinic, The New York Times, Wikipedia, and Verizon to power mission-critical systems. Elastic is used for use cases that require search, logging, metrics, and security of data. Backed by Benchmark Capital, Index Ventures, and NEA with more than $100 million in funding, Elastic has a distributed workforce with more than 900 employees in 30 countries.","Analytics, Cloud Computing, Open Source, SaaS, Search Engine, Software",https://www.elastic.co,"Mountain View, California, United States","Elastic builds software to make data usable in real time and at scale for search, logging, security, and analytics use cases.",365,"4,657,458","4,796,840.33",8.67%,-8.82%,548,2.44,-8.26%,56.04%,4.67%,"33,175","-1,740",-4.98%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2012-02-01,day,4,1001-5000,"Shay Banon, Simon Willnauer, Steven Schuurman, Uri Boness",,,,,
9Cloud,https://www.crunchbase.com/organization/9cloud,,"Cloud Computing, Internet, Web Design, Web Hosting",https://www.9cloud.us/,"Boston, Massachusetts, United States",9Cloud is a content storage service for website owners that are hosted privately.,"782,176","3,038,491","3,825,205",245.77%,32.73%,438,1.78,3.95%,57.23%,-14.13%,"45,972","-63,770",-58.11%,"Greater Boston Area, East Coast, New England",Active,2013-01-01,year,,,,,,,,
