Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
Genese Solution	https://www.crunchbase.com/organization/genese-solution	We are an official Cloud Consulting Provider of Amazon web services & Cloud Consulting Company working relentlessly on a mission of developing end-to-end product engineering and digital transformation services to companies and startups across Europe and Asia by delivering utmost and undaunted business & technical support to our esteemed clients, customers and stakeholders with the expertise of our internationally certified engineers & business professionals.	Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Storage, Consulting, Information Technology, SEO, Software	https://www.genesesolution.com/	London, England, United Kingdom	As an official Cloud Consulting Provider of Amazon web services. We offer Cloud Consulting Services.	439,251	2,662	2,728.33	145.8%	146.39%	239	3.15	24.02%	66.47%	36.24%	4,553,130	-2,208,415	-32.66%		Active	2013-03-03	day	1.0	51-100	Anjani Phuyal						https://www.genesesolution.com/bd/privacy-policy/
Polyaxon	https://www.crunchbase.com/organization/polyaxon		Artificial Intelligence, Cloud Infrastructure, Infrastructure, Machine Learning, PaaS	https://polyaxon.com	Berlin, Berlin, Germany	An open source platform for reproducible machine learning at scale.	208,230	2,642		1,463.31%		0	1.0	0%	100%	0%	4,481,236	-4,867,854	-52.07%	European Union (EU)	Active	2018-10-01	month									https://polyaxon.com/privacy/
Mainstream	https://www.crunchbase.com/organization/mainstream-cbcd		Cloud Infrastructure, Information Technology, Web Hosting	https://www.mainstream.rs	Belgrade, Vojvodina, Serbia	Mainstream provides advanced cloud, managed hosting, and infrastructure services.	439,301	2,639	1,560.17	469.98%	-74.79%	184	1.54	44.05%	62.17%	-37.29%	4,573,829	-3,862,200	-45.78%		Active	2005-01-01	year		51-100							https://www.mainstream.rs/en/privacy-policy/
ClusterCS	https://www.crunchbase.com/organization/clustercs	ClusterCS is a Cloud-Based Linux Control Panel with an easy to use GUI. The software is compatible with any type of VPS or dedicated servers and it simplifies the whole process of server and domain management. The panel comes with two layers of functions: 1. Server/Domain configuration and management, all from a standard web browser. 2. Advanced High Availability Clustering - ClusterCS has a cluster builder that allows an user to create and configure server clusters easily from a friendly GUI. The Linux distributions ClusterCS is compatible with are CentOS 6/7, RHEL 6/7 and Amazon Ami. Application-based support includes Apache, PHP, MySQL, NGNIX, Lighttpd, Galera DB, Mongo DB, Maria DB, etc. Email based support includes POP3, IMAP, and SMTP services. ClusterCS connects to your servers via SSH and does not require users to install it on their servers, being Cloud Based, it works remotely. History ClusterCS was created by Soft Dreams SRL. The CEO, Ionut Dumitru says that ClusterCS came as a response to many situations the was experiencing with high traffic websites. He worked on ClusterCS with his team of web developers to bring a solution with a market underlying problem, which is stability and easiness in configuring and managing servers that sustain high traffic websites. The product was introduced to the market in July 2016. Since then the product has an increasing number of users and gained exposure in worldwide markets. Features - Compatibility with any type of VPS or dedicated servers - Manage multiple servers from a single ClusterCS interface. - Server Configuration - Domain Management - Let`s Encrypt SSL - Backup Manager - Monitoring and Healing - Website Speed Customization - Cluster Builder Miscellaneous To the users, ClusterCS provides front-ends for several common operations, including the management of backups, cron jobs, mail and FTP accounts, SSL, Website Caching etc. Several features exist some for an additional fee, the most notable being the Cluster Builder. ClusterCS has a Website Speed Manager with a graphical user interface (GUI), named Speed, that helps users streamline the process of creating complex serving conditions. These can include inputs from URLS, assets, and cookies, in various combinations. This is also a GUI that improves security, intelligently blocking specific paths according to the IP of the user.	Cloud Computing, Cloud Infrastructure, Cloud Management, Linux, Software, Web Development, Web Hosting	https://www.clustercs.com/	Bucharest, Bucuresti, Romania	ClusterCS is a Cloud-Based Linux Control Panel that works with any type of VPS or dedicated servers.	408,356	2,586	5,168.5	-34.35%	-92.5%	140	6.34	119.44%	23.61%	57.4%	4,524,192	898,809	24.79%	European Union (EU)	Active	2016-07-16	day		11-50							
Replex	https://www.crunchbase.com/organization/replex-gmbh	Replex is the first governance and cost management platform purpose built for cloud-native and Kubernetes infrastructure. With Replex, IT managers and DevOps teams are able to regain control, transparency, and efficiency across cloud environments with the tools they need to rightsize cluster, pod, and container sizes for optimal utilization, forecast usage, identify trends, manage chargebacks, and plan capacity. Accurately allocate costs to teams, applications, business units and more. Ensure consistent IT governance control by defining and enforcing custom policies incorporating internal conventions and compliance requirements. Dynamically right size your clusters to control costs without compromising reliability or resilience and save up to 30% on cloud costs.	Cloud Infrastructure, Cloud Management, Information Technology, IT Infrastructure, Software, Virtualization	https://www.replex.io	Leipzig, Sachsen, Germany	Replex provides software solutions.	26,882	2,439				0	1.0		100%		4,732,873			European Union (EU)	Active	2016-02-01	month	5.0	11-50	Christian Falk, Costantino Lattarulo, Dennis Jacobfeuerborn, Marc Jansen, Patrick Kirchhoff	5.0					
Power DCloud	https://www.crunchbase.com/organization/power-blockchain	Power Ecosystem is a web3 company, developer of Power DCloud. DCloud is a nextgen web3 all-in-one decentralized infrastructure (DeInfra), which enables deployment of all parts of the full-fledged web3 app in a single decentralized environment with no need for centralized hosting. DCloud is designed to help building entire web3 world: - with full-stack dApps - with ultimate scalability - without any centralized parts - with highest level of security - with stable economics and fixed trx price - with fully customized chains (DeFi, DAOs, Games and so on) Key features: - MultiVM (EVM + WASM) - Fully Decentralized Storage - Stable tokenomics with fixed transaction price - Zero-maintenance - Plug&Play environment - High customization: tech and economical options	Blockchain, Cloud Infrastructure, Cloud Storage, Data Storage, IaaS, IT Infrastructure, PaaS, Semantic Web, Web Hosting	https://thepower.io	Tallinn, Harjumaa, Estonia	DCloud is a nextgen web3 all-in-one decentralized infrastructure	142,924	2,227		132.46%		28	3.45	245.44%	18.19%	-81.81%	4,902,718	-2,120,039	-30.19%	European Union (EU)	Active	2017-06-01	month	3.0	11-50	Dmitry Burov, Igor Belousov, Max Mikhailenko						https://thepower.io/privacy/
Global-e ICT Solutions	https://www.crunchbase.com/organization/global-e-ict-solutions		Cloud Computing, Cloud Infrastructure, Cloud Management, Information and Communications Technology (ICT)	https://www.global-e.nl/	Eindhoven, Noord-Brabant, The Netherlands	Global-e ICT Solutions offers innovative integrated services that help organizations perform better through cloud, voice and infrastructure.	1,604,493	2,180		440.94%		977	2.0	100%	42.75%	-57.25%	4,833,207	-3,120,692	-39.23%	European Union (EU)	Active	1988-01-01	year		11-50							
Red Kubes	https://www.crunchbase.com/organization/red-kubes	For all that Kubernetes can do, it still requires a lot of work. To have a complete container platform, you’ll need to integrate other components for networking, ingress/load balancing, security, monitoring, logging, auditability, traceability and much more. Otomi offers a set of pre-installed and configured leading open source components working in tandem, ready for you to use and installed within a couple of hours. Otomi is based on an opinionated and curated stack (Otomi Core) controlled by a custom-developed API. This offers you maturity and speed while still providing customization when desired. A curated stack solution like Otomi Container Platform offers lots of benefits in terms of governance, security, and most of all speed in delivering added value to your business. Otomi offers a true cloud agnostic way of managing container workloads on all Clouds, while still taking advantage of supporting Cloud services. Get services up and running and publicly exposed in minutes without having to setup a pipeline or having to write any YAML code.	Cloud Infrastructure, Software	https://redkubes.com/	Utrecht, Utrecht, The Netherlands	Red Kubes is a Dutch start-up founded in 2019 and builds products to make Kubernetes easy.	74,886	2,174	1,725.67	-50.66%	-31.58%	13	2.58	16.02%	0%	-34.64%	4,836,286	1,376,448	39.78%	European Union (EU)	Active	2019-07-18	day	2.0	11-50	Maurice Faber, Sander Rodenhuis						https://redkubes.com/privacy-statement/
OpsWorks Co.	https://www.crunchbase.com/organization/opsworks-co	We are your good night's sleep! OpsWorks Co. is an engineering company specializing in DevOps integration for companies of all sizes and fields. At OpsWorks Co. we strive to build scalable and easily manageable IT infrastructures.  Our clients are business owners who are willing to deliver high-quality applications faster and foster sustainable business success. This is exactly what we can help you with. DevOps practices implementation gives our clients a long-term competitive advantage on the market. Our team will help you: * Reduce operational costs * Automate deployment process * Enhance stability on your project As a DevOps service provider, we have optimized infrastructures for 70+ clients from the U.S. and EU over the past two years. Our services: Development and delivery optimization - Development and operations process audit - Continuous integration and continuous delivery implementation - Release management and time-to-market delivery optimization - Blue-green and zero downtime deployments - Containerization and microservices migration support IT infrastructure optimization - Infrastructure technical audit - Cloud consulting and management - Physical-to-Cloud/Cloud-to-Physical migration - Serverless infrastructure adoption - Infrastructure as a code implementation Application reliability and uptime management - Infrastructure and service reliability audit - Continuous monitoring implementation - Logging and data aggregation - Load and chaos testing - Disaster recovery planning 24/7 support and maintenance - Servers setup and management - Level 2/3 technical support - SLA and uptime maintenance Want to Have Your Project Optimized?  We offer you to have all the processes automated - the only thing you will have to do is press the button.   Contact us to find out opportunities for the optimization of your project!	Cloud Computing, Cloud Infrastructure, Information Technology, IT Infrastructure	https://opsworks.co/	Kyiv, Kyyiv, Ukraine	DevOps,  IT Infrastructure design and implementation, 24/7 Support	537,424	2,073	2,041.33	104.44%		0	1.0	0%	100%	0%	5,018,931	-1,917,563	-27.64%		Active	2017-12-12	day		11-50							https://opsworks.co/privacy-policy/
Xantaro	https://www.crunchbase.com/organization/xantaro	Xantaro is a team of experts with long lasting experience in the networks segment and multilateral technology know-how. Xantaro is the competent partner across technology and company boundaries.Their technology partners are leaders in their respective market segments and support them with reliable, innovative products and services. Unlike conventional system integration, their team has a multilayer technology know-how around network infrastructures, its abstraction, control and protection, as well as around value-added and central services, network orchestration and automation. Technology and vendor comprehensive, their experts together develop tailored solutions according to the customers’ requirements. Complemented by an end-to-end services portfolio through the complete service-life-cycle, they thereby realise faster, safer, and more reliable and cost-efficient systems for their clients.	Cloud Infrastructure, Data Integration, Telecommunications	https://www.xantaro.net/en/	Hamburg, Hamburg, Germany	Xantaro is a vendor-independent service integrator focussing on carrier-class networks & services, cloud infrastructures and orchestration.	322,984	2,043	877.33	212.86%	285%	7	1.71	71.37%	76.21%	-23.79%	5,042,067	-2,719,989	-35.04%	European Union (EU)	Active	2007-01-01	year	2.0	51-100	Gerold Arheilger, Ingo Kierse						
