Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
OVHcloud,https://www.crunchbase.com/organization/ovh-com,"OVH.com is an independent French company that offers web, dedicated, and cloud hosting solutions. The company’s service portfolio includes dedicated servers, mutual hosting, domain names, and VOIP telephony services for businesses and technophiles.  OVH.com was founded by Octave Klaba in 1999 and is based in France.","Cloud Data Services, Cloud Infrastructure, Data Center, Data Storage, Web Hosting",https://www.ovhcloud.com,"Paris, Ile-de-France, France","OVHcloud is an independent French company that offers web, dedicated, and cloud hosting solutions.","4,234","3,673,750","3,281,274.5",1.1%,53.27%,843,2.53,26.84%,61.57%,-3.02%,"40,336",486,1.22%,European Union (EU),Active,1999-01-01,year,1,1001-5000,Octave Klaba,,,,,
BrowserStack,https://www.crunchbase.com/organization/browserstack,"BrowserStack is a software testing platform powering over two million tests every day across 15 global data centers. It helps Microsoft, Twitter, Barclays, Expedia, and over 25,000 customers deliver quality software at speed by moving testing to their Cloud. Its platform provides instant access to 2,000+ real mobile devices and browsers on a highly reliable cloud infrastructure that effortlessly scales as testing needs grow. With BrowserStack, Dev and QA teams can move fast while delivering an amazing experience for every customer.  Founded in 2011, BrowserStack is a privately held company backed by Accel with offices in San Francisco, Mumbai, and Dublin.","Cloud Infrastructure, Developer Tools, SaaS, Software",http://www.browserstack.com/,"Dublin, Dublin, Ireland",BrowserStack is a software testing platform powering over two million tests every day across 15 global data centers.,"25,135","3,354,390","2,844,081.5",36.74%,35.65%,841,2.12,0%,60.71%,-3.89%,"43,319","-10,701",-19.81%,European Union (EU),Active,2011-09-01,day,2,501-1000,"Nakul Aggarwal, Ritesh Arora",,,12336675,USD,12336675
1 & 1 Internet,https://www.crunchbase.com/organization/1-1-internet-df12,,"Cloud Infrastructure, Internet, Software, Web Hosting",https://www.ionos.co.uk/,"Gloucester, Gloucestershire, United Kingdom","1&1 IONOS is a leading provider of cloud infrastructure, cloud services, and hosting with more than eight million customer contracts.","288,280","3,055,677","2,532,459.83",57.72%,39.06%,"1,157",5.67,31.4%,32.64%,-20.16%,"46,634","-18,157",-28.02%,,Active,1988-01-01,day,,1001-5000,,,,,,
Quipu,https://www.crunchbase.com/organization/quipu-408f,,"Banking, Cloud Data Services, Cloud Infrastructure, Payments, Software",https://www.quipu.de/,"Frankfurt, Hessen, Germany","Quipu is an IT consulting and services firm that specializes in cloud infrastructure, banking software, and card payments.","790,557","1,083,977","366,068.5",313.68%,34.26%,"1,160",2.9,7.44%,35.25%,26.07%,"100,066","-160,197",-61.55%,European Union (EU),Active,2004-01-01,year,,251-500,,10,"1,021",,,
Zadarma,https://www.crunchbase.com/organization/zadarma-project,"Zadarma provides a comprehensive voice telecommunication solution for companies of all sizes. From virtual numbers in over 100 countries and free Cloud PBX to free CRM, Call Tracking and various website widgets - you can fully establish your business phone system in a matter of a few minutes and at attractive rates.","Cloud Infrastructure, CRM, Speech Recognition, Telecommunications, Video Conferencing, VoIP",https://zadarma.com/,"Burgas, Burgas, Bulgaria","Cloud telecom and CRM system provider. Virtual numbers in 100 countries, Cloud PBX, Speech Recognition and Voice Analytics and more","146,729","1,045,140","988,113",12.49%,-14.93%,450,3.6,-18.98%,42.89%,29.07%,"102,693","-2,487",-2.36%,European Union (EU),Active,2006-12-01,month,2,101-250,"Dmitry Tokar, Vitalii Chupryna",4,"23,703",,,
CodeNOW,https://www.crunchbase.com/organization/stratox,,"Banking, Cloud Computing, Cloud Infrastructure, Cloud Management, Enterprise Software, Information Technology, Private Cloud, SaaS, Software, Web Development",https://www.codenow.com,"Prague, Hlavni mesto Praha, Czech Republic","CodeNOW is a software platform as a service, enabling businesses to deliver multi and hybrid cloud software faster – cost-efficient.","40,967","949,540","186,558.33",817.06%,-23.42%,"2,844",22.52,44.78%,18.01%,-27.23%,"110,206","-376,816",-77.37%,European Union (EU),Active,2018-01-01,year,,51-100,,,,,,
Companyon Analytics,https://www.crunchbase.com/organization/companyon-analytics,,"Analytics, Cloud Infrastructure, Information Technology",https://www.companyon.de/,"Düsseldorf, Nordrhein-Westfalen, Germany","Companyon Analytics provides data security, cloud infrastructure, information technology, technical solutions, and consultancy services.","1,027,600","615,920","112,948.5","1,965.32%",161.89%,"3,766",9.08,12.9%,13.55%,-51.01%,"151,077","-945,497",-86.22%,European Union (EU),Active,2020-01-01,year,1,1-10,Thorsten Havemann,,,,,
Boxtal,https://www.crunchbase.com/organization/envoimoinscher,"Boxtal is a cloud-based multi-carrier shipping solution for ecommerce. Marketplaces, ecommerce websites, CMS can integrate and handle shipping easily via the Boxtal app or the Boxtal API.","Cloud Infrastructure, Delivery, E-Commerce, Small and Medium Businesses",http://www.boxtal.com/,"Paris, Ile-de-France, France",Boxtal is a cloud-based multi-carrier shipping solution for ecommerce.,"64,782","609,898","306,865.33",157.64%,-54.22%,282,2.21,-34.42%,45.67%,40.48%,"157,756","-137,490",-46.57%,European Union (EU),Active,2009-01-01,year,1,51-100,Jean-Baptiste Renié,,,,,
Alcad,https://www.crunchbase.com/organization/alcad-987b,,"Business Information Systems, Business Intelligence, Cloud Infrastructure, Data Center, Software",https://www.alcad.si/index.php/en/,"Slovenska Bistrica, Brezovica Commune, Slovenia","Alcad is an infotech company that offers business support solutions for communication, reports, analysis, risk management, and data mining.","1,214,408","555,366","2,011,261.17",-88.19%,39.73%,306,2.23,5.44%,15.38%,30.78%,"168,818","136,522",422.72%,European Union (EU),Active,1995-01-01,year,,11-50,,,,,,
MGT COMMERCE,https://www.crunchbase.com/organization/mgt-commerce,,"Business Intelligence, Cloud Infrastructure, Infrastructure",https://www.mgt-commerce.com/,"Hamburg, Hamburg, Germany","MGT-COMMERCE provides a highly reliable, scalable, low-cost infrastructure platform.","524,559","519,704","220,977.83",47.56%,-86.05%,291,1.66,-5.04%,77.8%,-8.09%,"170,645","-41,350",-19.51%,European Union (EU),Active,2012-01-01,day,2,1-10,"Raphael Thiel, Stefan Wieczorek",,,13879721,USD,13879721
